"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","4","2","2.26","0","57","15","57.0","39","14","4","85","16","0.97","13.37","2.60","2.12","1.5","1.5","6785"
"Dellin Betances","Yankees","3","2","2.47","0","57","2","57.0","37","16","4","87","23","1.05","13.68","3.61","2.34","1.4","1.4","6216"
"Clayton Kershaw","Dodgers","14","7","2.41","28","28","0","187.0","150","50","15","223","32","0.97","10.72","1.54","2.42","6.4","6.1","2036"
"Kenley Jansen","Dodgers","3","2","2.62","0","56","33","56.0","39","16","5","79","14","0.95","12.67","2.25","2.44","1.3","1.0","3096"
"Aroldis Chapman","Yankees","4","2","2.41","0","57","31","57.0","36","15","5","90","24","1.04","14.19","3.83","2.47","1.3","1.4","10233"
"Zach Britton","Orioles","3","2","2.55","0","57","27","57.0","48","16","3","65","19","1.18","10.20","3.01","2.69","1.2","1.3","3240"
"Noah Syndergaard","Mets","12","8","2.99","28","28","0","175.0","146","58","15","209","42","1.07","10.74","2.14","2.69","5.2","4.3","11762"
"Craig Kimbrel","Red Sox","3","2","2.80","0","57","31","57.0","40","18","5","82","24","1.11","12.99","3.78","2.71","1.1","1.2","6655"
"Mark Melancon","Giants","3","2","2.87","0","56","32","56.0","50","18","4","55","14","1.15","8.88","2.23","2.88","0.8","0.8","4264"
"Trevor Rosenthal","Cardinals","3","2","2.86","0","57","1","57.0","43","18","4","75","25","1.19","11.89","3.94","2.89","0.9","0.9","10745"
"Stephen Strasburg","Nationals","11","7","3.20","24","24","0","147.0","126","52","15","174","39","1.12","10.66","2.41","3.00","3.8","3.5","10131"
"Ken Giles","Astros","3","2","3.03","0","57","23","57.0","43","19","5","75","22","1.14","11.85","3.45","3.00","0.9","0.9","12910"
"Max Scherzer","Nationals","13","7","3.17","27","27","0","177.0","145","62","21","217","43","1.07","11.04","2.21","3.03","4.8","4.4","3137"
"Wade Davis","Cubs","3","2","2.94","0","57","32","57.0","45","18","5","68","20","1.15","10.75","3.16","3.03","0.9","1.0","7441"
"Edwin Diaz","Mariners","3","2","2.96","0","56","30","56.0","44","18","5","69","18","1.11","10.99","2.94","3.05","0.8","0.9","14710"
"Cody Allen","Indians","3","2","3.08","0","57","17","57.0","44","19","6","74","22","1.15","11.69","3.45","3.07","0.9","1.0","12183"
"Brett Cecil","Cardinals","2","2","3.03","0","39","0","39.0","33","13","3","46","14","1.19","10.39","3.19","3.07","0.6","0.5","2660"
"James Hoyt","Astros","1","1","3.11","0","22","0","22.0","17","8","2","28","9","1.18","11.43","3.52","3.09","0.3","0.4","14605"
"Jeurys Familia","Mets","3","3","3.08","0","57","33","57.0","49","20","4","64","23","1.25","10.12","3.61","3.10","0.8","0.7","5114"
"Pedro Strop","Cubs","3","2","2.94","0","48","0","48.0","38","16","4","58","20","1.21","10.96","3.85","3.10","0.7","0.8","4070"
"Madison Bumgarner","Giants","7","5","3.11","15","15","0","101.0","87","35","10","109","24","1.10","9.77","2.15","3.13","2.3","2.3","5524"
"Chris Sale","Red Sox","14","8","3.25","28","28","0","189.0","163","68","21","214","42","1.08","10.21","1.98","3.14","4.8","5.1","10603"
"Carter Capps","Padres","2","2","3.17","0","35","0","35.0","28","12","3","44","15","1.20","11.25","3.70","3.17","0.5","0.4","12803"
"Sean Doolittle","Athletics","3","2","3.19","0","57","9","57.0","46","20","7","68","16","1.09","10.80","2.54","3.18","0.9","0.7","1581"
"Felipe Rivero","Pirates","3","2","3.10","0","48","1","48.0","41","16","4","54","18","1.22","10.15","3.36","3.19","0.6","0.6","12076"
"Hector Rondon","Cubs","2","2","3.19","0","39","0","39.0","33","14","4","43","12","1.17","9.95","2.82","3.20","0.5","0.5","2391"
"Will Smith","Giants","0","0","3.09","0","1","0","1.0","1","0","0","1","0","1.22","10.68","3.72","3.20","0.0","0.1","8048"
"Josh Smoker","Mets","2","2","3.13","0","35","0","35.0","28","12","3","43","14","1.21","11.10","3.59","3.21","0.5","0.5","10285"
"Jacob deGrom","Mets","10","8","3.31","26","26","0","158.0","141","58","16","170","43","1.16","9.69","2.46","3.22","3.7","3.1","10954"
"Shawn Kelley","Nationals","3","2","3.28","0","57","22","57.0","47","21","6","68","18","1.16","10.83","2.94","3.23","0.7","0.8","7773"
"Kyle Barraclough","Marlins","3","2","3.07","0","57","10","57.0","43","20","4","74","32","1.31","11.62","5.06","3.24","0.6","0.7","13713"
