"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","3","2","2.31","0","49","13","49.0","34","13","4","73","14","0.97","13.29","2.63","2.18","1.2","1.2","6785"
"Kenley Jansen","Dodgers","3","2","2.48","0","49","28","49.0","33","13","5","71","12","0.92","13.18","2.20","2.25","1.3","1.0","3096"
"Dellin Betances","Yankees","3","2","2.44","0","50","7","50.0","32","14","4","78","21","1.06","13.93","3.80","2.33","1.3","1.2","6216"
"Craig Kimbrel","Red Sox","3","2","2.62","0","49","27","49.0","33","14","4","74","20","1.07","13.55","3.64","2.49","1.0","1.1","6655"
"Clayton Kershaw","Dodgers","12","6","2.53","24","24","0","162.0","133","46","14","187","28","1.00","10.38","1.58","2.55","5.3","4.9","2036"
"Aroldis Chapman","Yankees","3","2","2.51","0","50","22","50.0","32","14","4","77","21","1.07","13.83","3.86","2.61","1.1","1.2","10233"
"Noah Syndergaard","Mets","5","3","3.02","11","11","0","68.0","57","23","6","81","17","1.09","10.72","2.22","2.74","2.0","1.6","11762"
"Trevor Rosenthal","Cardinals","3","2","2.75","0","50","1","50.0","36","15","4","68","22","1.17","12.37","3.98","2.77","0.9","0.9","10745"
"Zach Britton","Orioles","3","2","2.69","0","50","8","50.0","43","15","3","55","18","1.21","9.86","3.18","2.86","0.9","1.0","3240"
"Mark Melancon","Giants","3","2","2.91","0","48","28","48.0","44","16","3","47","12","1.15","8.82","2.24","2.91","0.7","0.7","4264"
"James Hoyt","Astros","1","1","2.96","0","22","0","22.0","17","7","2","30","9","1.15","11.90","3.49","2.93","0.4","0.4","14605"
"Chris Sale","Red Sox","12","6","3.16","24","24","0","164.0","138","58","18","195","37","1.06","10.69","2.02","3.02","4.4","4.5","10603"
"Wade Davis","Cubs","3","2","2.94","0","49","27","49.0","39","16","4","60","18","1.15","10.90","3.24","3.03","0.8","0.7","7441"
"Max Scherzer","Nationals","11","6","3.18","23","23","0","155.0","126","55","18","190","38","1.06","11.09","2.20","3.05","4.2","3.9","3137"
"Felipe Rivero","Pirates","3","2","2.97","0","49","1","49.0","40","16","4","58","18","1.20","10.60","3.37","3.06","0.6","0.7","12076"
"Justin Wilson","Tigers","3","2","3.02","0","50","25","50.0","40","17","4","60","19","1.17","10.90","3.40","3.10","0.8","0.9","4301"
"Corey Knebel","Brewers","3","2","3.17","0","49","15","49.0","38","17","4","65","21","1.21","12.00","3.95","3.10","0.8","0.7","15010"
"Pedro Strop","Cubs","2","1","2.97","0","34","0","34.0","27","11","3","41","14","1.22","10.88","3.82","3.11","0.5","0.5","4070"
