"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","3","2","2.31","0","50","13","50.0","34","13","4","74","15","0.97","13.31","2.63","2.18","1.3","1.3","6785"
"Kenley Jansen","Dodgers","3","2","2.48","0","49","29","49.0","33","13","5","72","12","0.92","13.19","2.20","2.25","1.3","1.0","3096"
"Dellin Betances","Yankees","3","2","2.44","0","51","8","51.0","32","14","4","78","21","1.06","13.96","3.81","2.33","1.3","1.2","6216"
"Craig Kimbrel","Red Sox","3","2","2.62","0","50","27","50.0","33","14","4","75","20","1.07","13.56","3.66","2.49","1.1","1.1","6655"
"Clayton Kershaw","Dodgers","13","6","2.51","24","24","0","163.0","133","46","14","189","29","1.00","10.45","1.61","2.53","5.3","5.0","2036"
"Aroldis Chapman","Yankees","3","2","2.51","0","51","23","51.0","32","14","4","78","22","1.07","13.84","3.86","2.61","1.1","1.1","10233"
"Noah Syndergaard","Mets","5","3","3.02","11","11","0","68.0","57","23","6","82","17","1.09","10.74","2.23","2.73","2.0","1.6","11762"
"Trevor Rosenthal","Cardinals","3","2","2.77","0","50","1","50.0","37","15","4","69","22","1.17","12.29","3.96","2.79","0.8","0.9","10745"
"Zach Britton","Orioles","3","2","2.68","0","50","8","50.0","43","15","3","55","18","1.21","9.87","3.19","2.86","0.9","1.0","3240"
"Mark Melancon","Giants","3","2","2.90","0","49","22","49.0","44","16","3","48","12","1.15","8.82","2.23","2.91","0.7","0.6","4264"
"James Hoyt","Astros","1","1","2.96","0","23","0","23.0","17","7","2","30","9","1.15","11.91","3.49","2.92","0.4","0.4","14605"
"Chris Sale","Red Sox","12","6","3.16","24","24","0","166.0","139","58","18","197","37","1.06","10.71","2.02","3.02","4.4","4.7","10603"
"Wade Davis","Cubs","3","2","2.94","0","50","28","50.0","39","16","4","60","18","1.15","10.92","3.26","3.03","0.8","0.8","7441"
"Max Scherzer","Nationals","11","6","3.18","24","24","0","156.0","127","55","18","192","38","1.06","11.10","2.20","3.04","4.2","3.9","3137"
"Felipe Rivero","Pirates","3","2","2.97","0","49","1","49.0","41","16","4","58","19","1.20","10.64","3.38","3.06","0.6","0.7","12076"
