"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Josh Johnson","Blue Jays","0","0","4.46","0","0","0","1.0","1","0","0","1","0","1.34","7.63","2.89","4.30","0.0","0.0","4567"
"Brandon Cunniff","Braves","0","0","4.16","0","1","0","1.0","1","0","0","1","1","1.45","8.75","4.74","4.30","0.0","0.0","11509"
"Tyler Melling","","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.42","7.89","3.97","4.31","0.0","0.0","sa599701"
"Rob Rogers","","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.43","7.15","3.90","4.31","0.0","0.1","sa738615"
"Sam Holland","","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.35","7.20","3.32","4.31","0.0","0.1","sa739649"
"Bobby LaFromboise","Pirates","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.43","6.95","3.64","4.31","0.0","0.0","7758"
"Layne Somsen","Reds","0","0","4.01","0","1","0","1.0","1","0","0","1","1","1.42","9.11","4.73","4.31","0.0","0.1","15301"
"Salvador Sanchez","","0","0","4.26","0","1","0","1.0","1","0","0","1","0","1.40","7.82","3.69","4.31","0.0","0.0","sa291439"
"R.A. Dickey","Braves","8","10","4.23","24","24","0","146.0","147","69","18","120","51","1.36","7.39","3.15","4.31","1.6","1.6","1245"
"David Speer","","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.39","7.11","3.51","4.31","0.0","0.1","sa827385"
"Junior Guerra","Brewers","7","8","4.40","21","21","0","130.0","129","63","17","120","50","1.38","8.35","3.50","4.31","1.7","1.4","5702"
"Jeff Urlaub","","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.41","7.63","3.64","4.31","0.0","0.0","sa549814"
"Daury Torrez","","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.30","6.92","2.66","4.31","0.0","0.1","sa596959"
"Anthony Bass","Rangers","2","2","4.31","0","35","0","35.0","35","17","4","30","14","1.40","7.71","3.51","4.31","0.0","0.0","7982"
"James Dykstra","","0","0","4.27","0","1","0","1.0","1","0","0","1","0","1.39","5.99","2.67","4.31","0.0","0.0","sa503397"
"Burch Smith","Padres","0","0","4.30","0","0","0","1.0","1","0","0","1","0","1.36","8.81","3.77","4.31","0.0","0.0","12784"
"Jeff Johnson","","0","0","4.12","0","1","0","1.0","1","0","0","1","1","1.43","8.46","4.50","4.31","0.0","0.1","sa598064"
"Nick Kingham","","0","1","4.41","1","1","0","8.0","9","4","1","6","3","1.37","7.00","2.93","4.31","0.1","0.1","sa548285"
"Justin Wright","","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.47","7.45","4.38","4.31","0.0","0.1","sa526239"
"Matt Marksberry","Braves","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.44","8.42","4.50","4.31","0.0","0.1","15089"
"Tom Wilhelmsen","Diamondbacks","1","2","4.35","0","30","0","30.0","31","15","3","26","13","1.44","7.57","3.96","4.31","0.0","0.0","9975"
"Brian Matusz","Cubs","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.35","8.43","3.77","4.31","0.0","0.1","2646"
"Jeremy Berg","","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.31","7.66","3.19","4.32","0.0","0.1","sa510226"
"Jeremy McBryde","","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.31","8.26","3.57","4.32","0.0","0.1","sa328275"
"Pedro Beato","Braves","0","0","4.20","0","1","0","1.0","1","0","0","1","0","1.38","7.96","3.75","4.32","0.0","0.0","1330"
"Roy Oswalt","Rockies","0","0","4.55","0","0","0","1.0","1","1","0","1","0","1.36","7.49","2.59","4.32","0.0","0.0","571"
"Greg Burke","Mets","0","0","4.27","0","1","0","1.0","1","0","0","1","0","1.38","8.14","3.66","4.32","0.0","0.0","6282"
"Logan Billbrough","","0","0","4.26","0","1","0","1.0","1","0","0","1","0","1.43","7.98","4.11","4.32","0.0","0.0","sa525886"
"Jose Berrios","Twins","6","6","4.35","17","17","0","91.0","88","44","12","85","34","1.34","8.44","3.41","4.32","1.0","1.0","14168"
"Danny Miranda","","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.41","7.04","3.55","4.32","0.0","0.0","sa598114"
"Kyle Simon","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.42","6.99","3.57","4.32","0.0","0.0","sa577011"
"Johnnie Lowe","","0","0","4.43","0","1","0","1.0","1","0","0","1","0","1.39","7.89","3.30","4.32","0.0","0.0","sa388816"
"Nick Sarianides","","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.39","8.77","4.28","4.32","0.0","0.1","sa502369"
"Corey Littrell","","0","0","4.13","0","1","0","1.0","1","0","0","1","0","1.38","7.33","3.48","4.32","0.0","0.1","sa550166"
"Scott Kazmir","Dodgers","1","1","4.19","4","4","0","24.0","24","11","3","20","8","1.34","7.38","3.02","4.32","0.3","0.3","4897"
"Ben Griset","","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.42","7.74","3.94","4.32","0.0","0.1","sa550008"
"Josh Beckett","Dodgers","0","0","4.32","0","0","0","1.0","1","0","0","1","0","1.32","7.93","3.02","4.32","0.0","0.0","510"
"Kurt Heyer","","0","0","4.27","0","1","0","1.0","1","0","0","1","0","1.37","6.72","2.97","4.32","0.0","0.0","sa621615"
"David Hale","Rockies","0","0","4.50","0","1","0","1.0","1","0","0","1","0","1.40","6.58","2.67","4.32","0.0","0.0","9756"
"Brad Peacock","Astros","3","3","4.34","6","37","0","63.0","58","30","9","63","25","1.34","9.07","3.65","4.32","0.3","0.4","5401"
"John Gant","Cardinals","2","2","4.31","6","6","0","32.0","31","15","4","27","13","1.41","7.73","3.78","4.32","0.3","0.4","13684"
"Wilton Lopez","Rockies","0","0","4.47","0","1","0","1.0","1","0","0","1","0","1.42","6.18","2.60","4.32","0.0","0.0","4227"
"R.J. Alvarez","Athletics","0","0","4.27","0","1","0","1.0","1","0","0","1","1","1.44","9.23","4.70","4.32","0.0","0.0","13401"
"Javy Guerra","Angels","0","0","4.02","0","1","0","1.0","1","0","0","1","0","1.42","8.11","4.40","4.33","0.0","0.1","7407"
"Jerad Eickhoff","Phillies","7","9","4.26","23","23","0","136.0","132","64","21","123","39","1.27","8.18","2.62","4.33","1.8","1.4","12664"
"Henderson Alvarez","","5","5","4.34","14","14","0","83.0","92","40","10","53","23","1.38","5.74","2.46","4.33","0.9","0.8","5669"
"Daniel Mengden","Athletics","0","1","4.38","1","1","0","8.0","8","4","1","7","3","1.39","7.72","3.51","4.33","0.1","0.1","16980"
"Anthony Banda","","0","1","4.22","1","1","0","8.0","8","4","1","7","4","1.40","8.17","3.94","4.33","0.1","0.1","sa599510"
"Matt Carasiti","Rockies","0","0","4.41","0","1","0","1.0","1","0","0","1","0","1.45","8.58","4.21","4.33","0.0","0.0","13276"
"Mike Dunn","Rockies","2","2","4.35","0","39","0","39.0","38","19","6","40","16","1.37","9.10","3.67","4.33","0.2","0.3","9948"
"Mark Hamburger","Twins","0","0","4.34","0","1","0","1.0","1","0","0","1","0","1.40","7.21","3.37","4.33","0.0","0.0","5329"
"Jon Rauch","Marlins","0","0","4.29","0","1","0","1.0","1","0","0","1","0","1.38","7.23","3.37","4.33","0.0","0.0","1475"
"Ryne Stanek","","0","0","4.08","0","9","0","9.0","8","4","1","8","4","1.41","8.20","4.30","4.33","0.0","0.1","sa548245"
"Dale Thayer","Padres","0","0","4.34","0","1","0","1.0","1","0","0","1","0","1.37","7.77","3.36","4.33","0.0","0.0","5032"
"Chris Thomas","","0","0","4.30","0","1","0","1.0","1","0","0","1","0","1.36","7.62","3.22","4.33","0.0","0.0","sa659320"
"Wei-Chung Wang","Brewers","0","0","4.31","0","1","0","1.0","1","0","0","1","0","1.35","7.66","2.88","4.33","0.0","0.0","14382"
"John Mincone","","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.44","7.31","3.89","4.33","0.0","0.0","sa501666"
"Jake Zokan","","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.33","7.37","3.04","4.33","0.0","0.1","sa737880"
"Yohander Mendez","Rangers","0","0","4.09","0","9","0","9.0","8","4","1","8","4","1.37","8.26","3.85","4.33","0.0","0.1","14391"
"Stephen Shackleford","","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.39","8.59","4.14","4.33","0.0","0.1","sa549913"
"C.J. Wilson","Angels","0","0","4.13","0","0","0","1.0","1","0","0","1","0","1.39","7.48","3.72","4.33","0.0","0.0","3580"
"Casey Janssen","Nationals","0","0","4.37","0","1","0","1.0","1","0","0","1","0","1.36","7.03","2.70","4.33","0.0","0.0","7355"
"Josh Smith","Reds","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.29","8.40","3.11","4.33","0.0","0.0","10946"
"Ryan Rowland-Smith","Diamondbacks","0","0","4.28","0","1","0","1.0","1","0","0","1","0","1.40","7.47","3.48","4.33","0.0","0.0","3245"
"Nathan Karns","Royals","7","8","4.34","23","23","0","128.0","122","62","16","119","55","1.38","8.34","3.84","4.33","1.4","1.5","12638"
"Miguel Pena","","0","0","4.18","0","0","0","1.0","1","0","0","1","0","1.36","6.28","2.70","4.33","0.0","0.0","sa501449"
"Fernando Abad","Red Sox","2","2","4.22","0","35","0","35.0","35","17","4","31","14","1.39","7.89","3.67","4.33","0.0","0.1","4994"
"Seth Frankoff","","0","0","4.18","0","0","0","1.0","1","0","0","1","0","1.38","7.29","3.52","4.34","0.0","0.0","sa549760"
"Gus Schlosser","Braves","0","0","4.30","0","1","0","1.0","1","0","0","1","0","1.42","7.25","3.62","4.34","0.0","0.0","12321"
"Taylor Hill","Nationals","0","0","4.30","0","1","0","1.0","1","0","0","1","0","1.31","6.24","2.04","4.34","0.0","0.0","12515"
"Jose Cisnero","Astros","0","0","4.25","0","1","0","1.0","1","0","0","1","0","1.39","8.95","4.19","4.34","0.0","0.0","6399"
"Tyler Cravy","Brewers","0","0","4.39","0","9","0","9.0","8","4","1","9","3","1.37","8.81","3.57","4.34","0.0","0.0","10770"
"Michael Mader","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.42","7.45","3.73","4.34","0.0","0.0","sa828804"
"Riley Ferrell","","0","0","4.21","0","1","0","1.0","1","0","0","1","0","1.43","8.61","4.44","4.34","0.0","0.0","sa874967"
"Hiroki Kuroda","Yankees","0","0","4.33","0","0","0","1.0","1","0","0","1","0","1.31","6.51","2.10","4.34","0.0","0.0","3283"
"Josh Wall","Angels","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.37","7.72","3.67","4.34","0.0","0.1","4436"
"John Brebbia","","0","0","4.29","0","1","0","1.0","1","0","0","1","0","1.36","7.20","3.09","4.34","0.0","0.0","sa577972"
"Brian Broderick","Royals","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.40","6.48","3.32","4.34","0.0","0.0","3773"
"Frank Herrmann","Phillies","0","0","4.25","0","1","0","1.0","1","0","0","1","0","1.30","8.54","3.15","4.34","0.0","0.0","7960"
"Zach Thornton","","0","0","4.28","0","1","0","1.0","1","0","0","1","0","1.44","6.98","3.59","4.34","0.0","0.0","sa549662"
"Ben Heller","Yankees","1","1","4.21","0","18","0","18.0","16","8","2","18","8","1.36","9.25","4.03","4.35","0.0","0.0","15100"
"Evan Marshall","Mariners","1","1","4.17","0","22","0","22.0","22","10","2","17","9","1.42","7.08","3.72","4.35","0.0","0.0","12297"
"Ian Kennedy","Royals","9","10","4.32","27","27","0","163.0","155","78","24","155","57","1.30","8.52","3.17","4.35","2.0","2.0","6986"
"Jordan Johnson","","0","0","4.26","0","0","0","1.0","1","0","0","1","0","1.38","6.93","3.37","4.35","0.0","0.0","sa602658"
"Miguel Diaz","Padres","2","2","4.26","1","32","0","38.0","38","18","5","33","15","1.39","7.74","3.62","4.35","0.0","-0.1","18815"
"Sam Freeman","Brewers","0","0","4.20","0","1","0","1.0","1","0","0","1","1","1.49","8.95","4.97","4.35","0.0","0.0","6832"
"Kyle Drabek","Diamondbacks","0","0","4.29","0","1","0","1.0","1","0","0","1","0","1.44","6.66","3.49","4.35","0.0","0.0","4359"
"Nick Burdi","","0","0","4.26","0","1","0","1.0","1","0","0","1","1","1.45","8.85","4.71","4.35","0.0","0.0","sa599297"
"Michael Kirkman","Brewers","0","0","4.23","0","1","0","1.0","1","0","0","1","1","1.49","8.69","4.81","4.35","0.0","0.0","9877"
"Greg Nappo","","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.38","7.99","4.04","4.35","0.0","0.1","sa599112"
"Sean Marshall","","2","2","4.13","0","48","0","48.0","49","22","5","38","22","1.46","7.10","4.03","4.35","0.0","0.1","5905"
"Jonathan Cornelius","","0","0","4.22","0","1","0","1.0","1","0","0","1","0","1.37","6.85","3.04","4.35","0.0","0.0","sa598475"
"Roberto Gomez","","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.41","6.55","3.51","4.35","0.0","0.0","sa551705"
"Joseph Colon","Indians","0","0","4.20","0","1","0","1.0","1","0","0","1","0","1.38","7.92","3.77","4.35","0.0","0.0","4920"
"Preston Morrison","","0","0","4.24","0","0","0","1.0","1","0","0","1","0","1.42","6.73","3.53","4.36","0.0","0.0","sa827432"
"David Bromberg","","0","0","4.42","0","0","0","1.0","1","0","0","1","0","1.36","7.88","3.22","4.36","0.0","0.0","sa326256"
"Drew VerHagen","Tigers","0","0","4.25","0","9","0","9.0","9","4","1","7","3","1.41","6.63","3.28","4.36","0.0","0.0","13424"
"Daniel Burawa","Braves","0","0","4.22","0","1","0","1.0","1","0","0","1","1","1.53","8.40","5.17","4.36","0.0","0.0","11397"
"Williams Perez","Braves","0","0","4.44","0","0","0","1.0","1","0","0","1","0","1.44","6.63","3.34","4.36","0.0","0.0","11592"
"Ismael Guillon","","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.36","9.69","4.40","4.36","0.0","0.1","sa550236"
"Scott Downs","Royals","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.50","6.13","4.02","4.36","0.0","0.0","773"
