"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","4","2","2.27","0","57","15","57.0","38","14","4","84","16","0.97","13.36","2.60","2.13","1.5","1.5","6785"
"Dellin Betances","Yankees","3","2","2.47","0","57","2","57.0","37","16","4","86","23","1.05","13.66","3.62","2.35","1.4","1.4","6216"
"Kenley Jansen","Dodgers","3","2","2.58","0","56","33","56.0","39","16","5","79","14","0.94","12.80","2.23","2.38","1.4","1.1","3096"
"Clayton Kershaw","Dodgers","14","7","2.42","27","27","0","186.0","149","50","15","221","32","0.97","10.71","1.54","2.42","6.4","6.0","2036"
"Aroldis Chapman","Yankees","3","2","2.41","0","57","31","57.0","35","15","5","90","24","1.05","14.18","3.83","2.48","1.3","1.4","10233"
"Zach Britton","Orioles","3","2","2.55","0","57","27","57.0","48","16","3","64","19","1.18","10.18","3.02","2.69","1.2","1.3","3240"
"Noah Syndergaard","Mets","12","8","2.99","28","28","0","174.0","145","58","15","207","41","1.08","10.72","2.15","2.69","5.2","4.2","11762"
"Craig Kimbrel","Red Sox","3","2","2.80","0","57","31","57.0","39","18","5","82","24","1.11","12.98","3.79","2.71","1.1","1.2","6655"
"Trevor Rosenthal","Cardinals","3","2","2.82","0","56","1","56.0","42","18","4","75","24","1.18","12.01","3.91","2.84","0.9","1.0","10745"
"Mark Melancon","Giants","3","2","2.84","0","56","32","56.0","50","18","4","56","14","1.14","8.97","2.23","2.84","0.8","0.8","4264"
"Stephen Strasburg","Nationals","11","6","3.20","24","24","0","146.0","125","52","15","173","39","1.12","10.65","2.41","3.00","3.7","3.5","10131"
"Ken Giles","Astros","3","2","3.04","0","56","23","56.0","43","19","5","74","22","1.14","11.84","3.46","3.00","0.9","0.8","12910"
"Max Scherzer","Nationals","13","7","3.18","27","27","0","176.0","144","62","20","215","43","1.07","11.02","2.21","3.03","4.8","4.4","3137"
"Edwin Diaz","Mariners","3","2","2.95","0","56","29","56.0","43","18","5","68","18","1.10","11.03","2.93","3.03","0.9","0.9","14710"
"Wade Davis","Cubs","3","2","2.94","0","57","32","57.0","45","18","5","68","20","1.15","10.74","3.16","3.03","0.9","1.0","7441"
"Brett Cecil","Cardinals","2","2","3.02","0","39","0","39.0","32","13","3","45","14","1.19","10.46","3.18","3.05","0.6","0.6","2660"
"Chris Sale","Red Sox","14","7","3.20","28","28","0","188.0","161","67","20","215","40","1.07","10.32","1.94","3.08","4.9","5.1","10603"
"Cody Allen","Indians","3","2","3.09","0","57","17","57.0","43","19","6","73","22","1.15","11.62","3.43","3.08","0.8","1.0","12183"
"James Hoyt","Astros","1","1","3.11","0","22","0","22.0","17","7","2","27","8","1.18","11.42","3.52","3.10","0.3","0.4","14605"
"Pedro Strop","Cubs","3","2","2.95","0","48","0","48.0","38","16","4","58","20","1.22","10.95","3.85","3.10","0.7","0.8","4070"
"Jeurys Familia","Mets","3","3","3.12","0","57","32","57.0","48","20","4","64","23","1.26","10.12","3.69","3.13","0.8","0.7","5114"
"Josh Smoker","Mets","2","2","3.07","0","35","0","35.0","28","12","3","44","14","1.19","11.26","3.52","3.13","0.5","0.5","10285"
"Madison Bumgarner","Giants","7","5","3.12","15","15","0","100.0","86","35","10","109","24","1.10","9.75","2.16","3.14","2.3","2.2","5524"
"Carter Capps","Padres","2","2","3.18","0","35","0","35.0","28","12","3","44","14","1.20","11.23","3.71","3.18","0.5","0.4","12803"
"Sean Doolittle","Athletics","3","2","3.19","0","56","9","56.0","45","20","7","67","16","1.09","10.79","2.55","3.19","0.9","0.8","1581"
"Felipe Rivero","Pirates","3","2","3.10","0","48","1","48.0","41","16","4","54","18","1.22","10.14","3.36","3.19","0.6","0.6","12076"
"Justin Wilson","Tigers","3","2","3.09","0","57","1","57.0","46","19","5","66","21","1.20","10.47","3.42","3.19","0.9","0.9","4301"
"Hector Rondon","Cubs","2","2","3.19","0","39","0","39.0","33","14","4","43","12","1.17","9.95","2.82","3.20","0.5","0.5","2391"
"Will Smith","Giants","0","0","3.09","0","1","0","1.0","1","0","0","1","0","1.22","10.67","3.73","3.21","0.0","0.1","8048"
"Jacob deGrom","Mets","10","8","3.31","25","25","0","157.0","140","58","16","169","43","1.17","9.68","2.46","3.22","3.6","3.2","10954"
"Shawn Kelley","Nationals","3","2","3.29","0","56","22","56.0","47","21","6","68","18","1.16","10.82","2.94","3.23","0.7","0.7","7773"
"Kyle Barraclough","Marlins","3","2","3.08","0","57","10","57.0","42","19","4","73","32","1.31","11.60","5.06","3.25","0.6","0.7","13713"
"Raisel Iglesias","Reds","3","3","3.22","0","56","28","56.0","47","20","6","66","17","1.14","10.50","2.75","3.25","0.8","0.7","17130"
"Grant Dayton","Dodgers","3","2","3.10","0","47","1","47.0","37","16","5","58","16","1.12","11.15","3.02","3.26","0.6","0.5","11203"
"Kelvin Herrera","Royals","3","3","3.24","0","57","28","57.0","49","20","5","61","19","1.19","9.63","2.99","3.26","0.7","0.9","6033"
"Nate Jones","White Sox","3","3","3.25","0","57","1","57.0","48","21","6","67","20","1.19","10.53","3.18","3.27","0.9","0.7","4696"
