"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Pedro Strop","Cubs","2","1","2.93","0","35","0","35.0","28","11","3","43","15","1.21","11.03","3.83","3.07","0.5","0.5","4070"
"Stephen Strasburg","Nationals","9","6","3.32","22","22","0","134.0","117","49","14","154","37","1.15","10.33","2.47","3.15","3.2","3.0","10131"
"Madison Bumgarner","Giants","5","4","3.12","11","11","0","74.0","63","26","8","80","18","1.10","9.78","2.19","3.15","1.7","1.7","5524"
"Corey Knebel","Brewers","3","2","3.22","0","51","16","51.0","40","18","5","66","22","1.22","11.77","3.91","3.16","0.8","0.7","15010"
"Jacob deGrom","Mets","10","8","3.27","24","24","0","150.0","131","55","15","168","43","1.16","10.07","2.59","3.18","3.6","3.0","10954"
"Justin Wilson","Tigers","3","2","3.08","0","51","25","51.0","42","18","5","61","19","1.19","10.63","3.41","3.18","0.8","0.8","4301"
"Brett Cecil","Cardinals","2","2","3.15","0","36","0","36.0","30","12","3","40","13","1.21","10.08","3.21","3.20","0.5","0.5","2660"
"Alex Wood","Dodgers","7","5","3.09","15","31","0","102.0","89","35","9","110","32","1.19","9.77","2.83","3.21","2.1","2.0","13781"
"Cody Allen","Indians","3","2","3.20","0","51","15","51.0","40","18","5","66","21","1.18","11.59","3.68","3.21","0.7","0.7","12183"
"Carter Capps","Padres","2","2","3.22","0","32","0","32.0","25","11","3","40","14","1.22","11.31","3.87","3.22","0.4","0.5","12803"
"Jeurys Familia","Mets","3","2","3.22","0","51","8","51.0","45","18","4","56","21","1.28","9.85","3.73","3.23","0.6","0.6","5114"
"Will Smith","Giants","0","0","3.11","0","1","0","1.0","1","0","0","1","0","1.23","10.67","3.79","3.24","0.0","0.1","8048"
"Nate Jones","White Sox","1","1","3.23","0","24","0","24.0","20","9","2","28","9","1.19","10.65","3.21","3.25","0.4","0.4","4696"
"Liam Hendriks","Athletics","2","2","3.40","0","43","0","43.0","40","16","4","44","10","1.16","9.24","2.17","3.27","0.6","0.4","3548"
"Sean Doolittle","Athletics","1","1","3.27","0","24","0","24.0","19","9","3","28","7","1.12","10.62","2.65","3.27","0.4","0.3","1581"
"Hector Rondon","Cubs","2","2","3.27","0","43","2","43.0","37","16","4","47","14","1.18","9.82","2.84","3.27","0.6","0.5","2391"
"Shawn Kelley","Nationals","3","2","3.31","0","51","8","51.0","43","19","6","62","17","1.16","10.83","2.97","3.27","0.6","0.7","7773"
"Josh Ravin","Dodgers","1","0","3.20","0","12","0","12.0","9","4","1","14","5","1.21","11.16","3.78","3.28","0.2","0.1","2951"
"Kelvin Herrera","Royals","3","2","3.29","0","51","25","51.0","44","19","5","54","17","1.19","9.61","2.97","3.30","0.6","0.8","6033"
"Josh Smoker","Mets","2","1","3.22","0","32","0","32.0","26","11","3","38","13","1.23","10.94","3.68","3.31","0.4","0.4","10285"
"Carlos Carrasco","Indians","11","7","3.38","24","24","0","152.0","139","57","16","156","39","1.17","9.24","2.29","3.32","3.4","3.4","6632"
"Greg Holland","Rockies","3","2","3.41","0","50","17","50.0","43","19","5","60","21","1.27","10.70","3.74","3.33","0.8","0.8","7196"
"Cesar Valdez","Blue Jays","0","0","3.42","0","8","0","8.0","8","3","1","7","1","1.13","8.21","1.47","3.33","0.1","0.1","9013"
"David Phelps","Marlins","3","3","3.32","3","46","0","58.0","50","21","5","63","21","1.23","9.82","3.26","3.33","0.7","0.8","6316"
"Grant Dayton","Dodgers","2","2","3.18","0","43","1","43.0","34","15","5","53","15","1.13","11.05","3.08","3.33","0.5","0.5","11203"
"Juan Nicasio","Pirates","2","2","3.39","0","43","1","43.0","38","16","4","46","15","1.24","9.75","3.16","3.35","0.5","0.4","7731"
"Cam Bedrosian","Angels","2","1","3.18","0","34","19","34.0","28","12","3","40","15","1.23","10.43","3.81","3.35","0.4","0.4","13360"
"Gerrit Cole","Pirates","9","8","3.58","24","24","0","147.0","140","59","14","143","40","1.22","8.71","2.41","3.35","3.1","2.5","13125"
"Raisel Iglesias","Reds","3","2","3.31","0","51","26","51.0","43","19","6","59","16","1.16","10.40","2.88","3.35","0.7","0.7","17130"
"Blake Parker","Angels","3","2","3.21","0","50","0","50.0","40","18","5","58","18","1.17","10.41","3.30","3.35","0.6","0.7","5224"
"Carl Edwards Jr.","Cubs","3","2","3.13","0","51","2","51.0","38","18","4","67","28","1.29","11.75","4.90","3.36","0.6","0.6","13607"
"Jim Johnson","Braves","3","2","3.40","0","52","19","52.0","49","20","4","52","19","1.30","8.95","3.33","3.36","0.5","0.5","3656"
"Chris Archer","Rays","10","8","3.33","24","24","0","154.0","131","57","16","170","51","1.18","9.98","2.97","3.36","3.2","3.4","6345"
"Brandon Maurer","Padres","2","2","3.41","0","50","22","50.0","44","19","5","55","16","1.20","9.84","2.86","3.37","0.6","0.4","4878"
"Michael Pineda","Yankees","9","6","3.45","21","21","0","121.0","110","46","15","130","28","1.14","9.66","2.11","3.37","2.8","2.6","5372"
"Hunter Strickland","Giants","2","2","3.28","0","42","3","42.0","37","15","4","44","15","1.22","9.23","3.15","3.38","0.3","0.4","7836"
"Koji Uehara","Cubs","2","2","3.33","0","43","0","43.0","36","16","6","50","11","1.09","10.40","2.38","3.39","0.5","0.5","9227"
"Addison Reed","Mets","3","2","3.52","0","51","23","51.0","46","20","6","56","14","1.17","9.82","2.53","3.39","0.5","0.3","10586"
"Josh Fields","Dodgers","1","1","3.29","0","27","0","27.0","22","10","3","31","9","1.16","10.37","3.07","3.39","0.4","0.2","5070"
"Carson Smith","Red Sox","1","1","3.44","0","16","0","16.0","14","6","1","16","6","1.30","9.15","3.50","3.40","0.2","0.1","13172"
"Arodys Vizcaino","Braves","3","2","3.38","0","52","10","52.0","43","20","5","63","24","1.27","10.79","4.06","3.41","0.5","0.6","5498"
"Archie Bradley","Diamondbacks","4","4","3.47","4","54","0","71.0","61","27","7","81","29","1.27","10.27","3.66","3.41","0.9","1.0","12918"
"Jameson Taillon","Pirates","8","7","3.61","20","20","0","121.0","119","48","12","110","29","1.23","8.23","2.18","3.43","2.4","2.0","11674"
"Chaz Roe","Braves","1","1","3.38","0","20","0","20.0","18","8","2","22","9","1.31","9.69","3.84","3.43","0.2","0.2","9866"
"Oliver Drake","Brewers","2","2","3.41","0","35","0","35.0","29","13","3","43","17","1.29","11.16","4.27","3.43","0.4","0.4","8823"
"James Paxton","Mariners","8","6","3.40","20","20","0","121.0","110","46","12","120","37","1.22","8.91","2.76","3.44","2.5","2.4","11828"
"Jose Contreras","Pirates","0","0","3.51","0","1","0","1.0","1","0","0","1","0","1.21","8.94","2.64","3.44","0.0","0.1","1660"
"Chris Devenski","Astros","3","3","3.44","1","52","6","58.0","48","22","7","65","16","1.11","10.14","2.46","3.44","0.8","0.7","12763"
"James Pazos","Mariners","2","2","3.18","0","35","0","35.0","28","12","3","42","17","1.29","10.74","4.41","3.44","0.3","0.4","13323"
"Ross Stripling","Dodgers","3","2","3.45","1","44","1","50.0","47","19","5","48","14","1.22","8.62","2.52","3.45","0.5","0.4","13273"
"Roberto Osuna","Blue Jays","3","2","3.50","0","51","25","51.0","42","20","6","58","15","1.13","10.36","2.65","3.45","0.7","0.6","13764"
"David Robertson","White Sox","3","2","3.51","0","52","25","52.0","43","20","6","62","21","1.23","10.84","3.61","3.46","0.7","0.6","8241"
"Lance McCullers","Astros","9","6","3.42","21","21","0","126.0","108","48","12","142","52","1.27","10.16","3.75","3.46","2.6","2.5","14120"
"Kyle Barraclough","Marlins","3","2","3.29","0","51","9","51.0","39","19","4","65","31","1.37","11.36","5.46","3.46","0.4","0.5","13713"
"Blake Treinen","Nationals","2","2","3.43","0","43","2","43.0","41","17","3","43","18","1.35","8.88","3.70","3.47","0.4","0.4","12572"
"Zach Duke","Cardinals","0","0","3.27","0","1","0","1.0","1","0","0","1","0","1.32","9.36","3.95","3.47","0.0","0.1","3840"
"Matt Bush","Rangers","3","2","3.50","0","50","1","50.0","44","20","6","55","17","1.20","9.94","3.01","3.47","0.6","0.6","1246"
"Derek Law","Giants","3","2","3.40","0","50","6","50.0","46","19","4","48","17","1.25","8.65","3.06","3.48","0.4","0.4","13133"
"Steven Matz","Mets","4","4","3.50","12","12","0","67.0","62","26","7","67","20","1.23","8.97","2.75","3.48","1.4","1.3","13361"
"Corey Kluber","Indians","11","7","3.55","24","24","0","154.0","140","61","18","160","41","1.18","9.35","2.42","3.48","3.2","3.2","2429"
"Brad Hand","Padres","2","2","3.44","0","50","3","50.0","45","19","5","54","19","1.26","9.67","3.38","3.49","0.5","0.4","9111"
"Joakim Soria","Royals","3","2","3.40","0","51","1","51.0","45","19","5","53","19","1.25","9.43","3.36","3.49","0.5","0.7","6941"
"Phil Maton","","0","0","3.47","0","1","0","1.0","1","0","0","1","0","1.22","10.27","3.35","3.49","0.0","0.1","sa875251"
"Jenrry Mejia","Mets","0","0","3.53","0","1","0","1.0","1","0","0","1","0","1.28","9.40","3.34","3.50","0.0","0.1","8476"
"David Price","Red Sox","7","4","3.57","15","15","0","97.0","91","38","11","94","22","1.17","8.77","2.07","3.50","2.0","1.9","3184"
"Joe Kelly","Red Sox","3","2","3.57","0","51","3","51.0","47","20","5","52","18","1.28","9.14","3.24","3.51","0.5","0.6","9761"
"Keone Kela","Rangers","2","1","3.46","0","31","0","31.0","25","12","3","37","14","1.27","10.89","4.08","3.51","0.3","0.4","14696"
"Alec Mills","Cubs","1","1","3.42","0","16","0","16.0","14","6","2","15","4","1.18","8.73","2.43","3.51","0.2","0.1","13834"
"Andrew Chafin","Diamondbacks","2","2","3.43","0","35","1","35.0","31","13","3","36","14","1.30","9.25","3.61","3.51","0.4","0.4","12988"
"Carlos Martinez","Cardinals","10","8","3.55","25","25","0","157.0","145","62","13","156","59","1.30","8.98","3.38","3.52","2.9","2.8","11682"
"Seung Hwan Oh","Cardinals","3","2","3.55","0","51","28","51.0","46","20","6","54","16","1.20","9.41","2.73","3.52","0.5","0.4","18719"
"Tyler Lyons","Cardinals","1","1","3.51","0","20","0","20.0","18","8","2","20","5","1.18","8.93","2.27","3.52","0.2","0.2","11334"
"Jon Lester","Cubs","11","8","3.54","25","25","0","158.0","145","62","17","157","46","1.21","8.90","2.64","3.53","3.1","3.0","4930"
"Adam Ottavino","Rockies","3","2","3.74","0","50","7","50.0","45","21","5","56","20","1.30","10.13","3.55","3.54","0.6","0.6","1247"
"Pedro Baez","Dodgers","3","2","3.45","0","51","1","51.0","43","19","6","57","18","1.21","10.16","3.27","3.54","0.5","0.4","5420"
"Alex Colome","Rays","3","2","3.41","0","50","21","50.0","44","19","5","51","16","1.21","9.18","2.91","3.55","0.4","0.5","6661"
"Dallas Keuchel","Astros","11","7","3.48","24","24","0","159.0","155","62","15","138","45","1.26","7.80","2.56","3.55","3.2","3.1","9434"
"Justin Grimm","Cubs","0","0","3.48","0","8","0","8.0","7","3","1","9","3","1.27","10.39","3.87","3.55","0.1","0.1","11720"
"Daniel Winkler","Braves","0","0","3.55","0","8","0","8.0","7","3","1","9","3","1.24","9.85","3.30","3.56","0.1","0.1","12237"
"A.J. Minter","","0","0","3.41","0","1","0","1.0","1","0","0","1","0","1.32","10.02","4.09","3.57","0.0","0.1","sa659284"
"Josh Lowey","","0","0","3.53","0","0","0","1.0","1","0","0","1","0","1.26","8.68","3.02","3.57","0.0","0.0","sa560990"
"Luke Gregerson","Astros","2","2","3.58","0","43","3","43.0","39","17","4","43","14","1.23","8.98","2.87","3.58","0.4","0.3","4090"
"Enny Romero","Nationals","2","1","3.44","0","32","0","32.0","27","12","3","35","13","1.28","10.03","3.76","3.58","0.3","0.4","4001"
"Kirby Yates","Padres","0","0","3.52","0","1","0","1.0","1","0","0","1","0","1.24","10.54","3.74","3.58","0.0","0.1","9073"
"Aaron Nola","Phillies","6","6","3.62","17","17","0","101.0","95","41","11","99","28","1.21","8.84","2.49","3.59","1.9","1.8","16149"
"Matt Strahm","Royals","1","1","3.39","0","27","0","27.0","23","10","3","30","10","1.21","9.95","3.40","3.59","0.2","0.4","13799"
"Yu Darvish","Rangers","10","8","3.72","25","25","0","155.0","133","64","19","178","56","1.22","10.39","3.25","3.60","3.2","3.2","13074"
"Tommy Kahnle","White Sox","2","2","3.47","0","36","0","36.0","28","14","3","46","20","1.34","11.52","5.03","3.60","0.4","0.4","11384"
"Radhames Liz","Pirates","0","0","3.59","0","1","0","1.0","1","0","0","1","0","1.27","9.64","3.46","3.60","0.0","0.1","5843"
"D.J. Snelten","","0","0","3.29","0","1","0","1.0","1","0","0","1","0","1.33","7.78","3.56","3.60","0.0","0.1","sa549813"
"Michael Feliz","Astros","1","1","3.56","0","27","0","27.0","23","11","3","32","11","1.22","10.51","3.47","3.60","0.2","0.2","11903"
"John Holdzkom","Pirates","0","0","3.55","0","1","0","1.0","1","0","0","1","0","1.34","9.91","4.23","3.60","0.0","0.1","9392"
"Trevor May","Twins","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.21","9.85","2.93","3.60","0.0","0.1","6398"
"Cory Mazzoni","Padres","0","0","3.56","0","8","0","8.0","7","3","1","8","3","1.25","9.60","3.28","3.61","0.1","0.1","12537"
"Robbie Ray","Diamondbacks","8","7","3.60","21","21","0","121.0","102","48","13","141","51","1.27","10.46","3.81","3.61","2.3","2.5","11486"
"Kameron Loe","Braves","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.30","7.62","2.63","3.61","0.0","0.1","4422"
"Anthony Swarzak","White Sox","2","2","3.60","0","44","0","44.0","40","18","5","45","13","1.23","9.31","2.76","3.62","0.6","0.4","7466"
"Carlos Alvarado","","0","0","3.50","0","1","0","1.0","1","0","0","1","0","1.24","9.18","3.32","3.63","0.0","0.1","sa505053"
"Garrett Richards","Angels","5","4","3.53","12","12","0","73.0","68","29","7","69","27","1.29","8.41","3.26","3.63","1.3","1.2","9784"
"Alex Reyes","Cardinals","0","0","3.49","0","0","0","1.0","1","0","0","1","1","1.31","11.02","4.69","3.64","0.0","0.0","15015"
"Johnny Cueto","Giants","10","9","3.53","25","25","0","161.0","157","63","16","134","41","1.23","7.46","2.29","3.64","2.6","2.6","6893"
"Adam Liberatore","Dodgers","1","1","3.44","0","19","0","19.0","17","7","2","21","7","1.25","9.71","3.43","3.64","0.2","0.1","10637"
"Marcus Stroman","Blue Jays","10","8","3.74","25","25","0","158.0","160","66","15","132","45","1.29","7.49","2.56","3.64","3.0","2.9","13431"
"Jake Arrieta","Cubs","10","7","3.64","24","24","0","151.0","139","61","15","142","51","1.26","8.50","3.03","3.64","2.7","2.6","4153"
"Zack Greinke","Diamondbacks","9","8","3.67","24","24","0","151.0","146","62","18","139","38","1.21","8.28","2.24","3.64","2.9","3.0","1943"
"Charlie Morton","Astros","8","6","3.68","20","20","0","114.0","105","47","11","115","41","1.28","9.07","3.22","3.64","2.1","2.0","4676"
"Bud Norris","Angels","3","2","3.52","0","50","8","50.0","45","19","5","49","16","1.22","8.85","2.87","3.64","0.3","0.4","9492"
"Koda Glover","Nationals","3","2","3.67","0","51","21","51.0","48","21","5","52","18","1.27","9.05","3.09","3.65","0.4","0.4","17695"
"Jose Valverde","Mets","0","0","3.73","0","1","0","1.0","1","0","0","1","0","1.24","9.88","3.19","3.65","0.0","0.1","1726"
"Chris Hatcher","Dodgers","1","1","3.56","0","23","0","23.0","21","9","3","25","8","1.23","9.52","3.17","3.65","0.2","0.1","3299"
"Zach McAllister","Indians","2","1","3.67","0","32","0","32.0","28","13","4","33","11","1.24","9.53","3.14","3.66","0.3","0.3","2895"
"Aaron Barrett","","0","0","3.62","0","8","0","8.0","7","3","1","8","3","1.29","9.55","3.58","3.66","0.1","0.1","11243"
"Jeff Samardzija","Giants","9","9","3.72","25","25","0","155.0","150","64","17","138","40","1.23","7.98","2.32","3.66","2.4","2.2","3254"
"Onelki Garcia","Dodgers","0","0","3.40","0","1","0","1.0","1","0","0","1","0","1.31","9.17","3.80","3.66","0.0","0.1","13674"
"Erik Cordier","Marlins","0","0","3.51","0","1","0","1.0","1","0","0","1","1","1.36","10.81","5.07","3.67","0.0","0.1","4086"
"Wilmer Font","Rangers","0","0","3.69","0","1","0","1.0","1","0","0","1","0","1.18","10.04","2.77","3.67","0.0","0.1","5257"
"Marc Rzepczynski","Mariners","2","1","3.40","0","31","0","31.0","28","12","2","30","14","1.35","8.80","3.97","3.67","0.2","0.3","6612"
"Justin Verlander","Tigers","11","8","3.67","25","25","0","163.0","144","66","20","171","51","1.19","9.44","2.80","3.68","3.3","3.3","8700"
"Dan Otero","Indians","2","2","3.64","0","43","0","43.0","46","18","4","32","10","1.29","6.63","2.16","3.68","0.4","0.4","7385"
"Shae Simmons","Mariners","0","0","3.52","0","8","0","8.0","7","3","1","8","4","1.31","9.46","3.93","3.68","0.1","0.1","14200"
"Sammy Solis","Nationals","1","1","3.56","0","24","0","24.0","21","9","2","25","10","1.32","9.46","3.80","3.69","0.2","0.3","11457"
"Trevor Hildenberger","","0","0","3.68","0","1","0","1.0","1","0","0","1","0","1.29","8.14","2.91","3.69","0.0","0.1","sa829460"
"Jerry Blevins","Mets","2","2","3.58","0","36","0","36.0","31","14","4","39","14","1.27","9.87","3.53","3.69","0.3","0.3","7841"
"Jordan Walden","Cardinals","0","0","3.72","0","1","0","1.0","1","0","0","1","0","1.30","9.75","3.86","3.69","0.0","0.1","3271"
"Rick Porcello","Red Sox","10","8","3.92","24","24","0","153.0","154","67","18","134","31","1.21","7.90","1.85","3.70","3.0","2.8","2717"
"Junichi Tazawa","Marlins","2","2","3.73","0","36","0","36.0","33","15","4","34","12","1.26","8.55","2.94","3.70","0.2","0.2","4079"
"Will Harris","Astros","2","2","3.73","0","43","0","43.0","40","18","5","42","14","1.25","8.91","2.96","3.70","0.3","0.3","3192"
"Matt Bowman","Cardinals","2","1","3.68","0","32","0","32.0","33","13","3","24","10","1.34","6.90","2.81","3.71","0.2","0.2","13528"
"Fernando Nieve","","0","0","3.69","0","1","0","1.0","1","0","0","1","0","1.28","9.53","3.50","3.71","0.0","0.1","2173"
"Steven Okert","Giants","2","1","3.48","0","31","0","31.0","27","12","3","31","12","1.28","9.01","3.60","3.71","0.2","0.2","13580"
"Ian Krol","Braves","2","2","3.57","0","44","0","44.0","40","18","4","46","19","1.33","9.33","3.79","3.72","0.2","0.4","10066"
"Ian Thomas","Dodgers","0","0","3.53","0","1","0","1.0","1","0","0","1","0","1.27","9.13","3.33","3.72","0.0","0.1","13881"
"Dylan Floro","Cubs","0","0","3.63","0","1","0","1.0","1","0","0","1","0","1.25","6.56","1.97","3.72","0.0","0.1","13394"
"Luis Avilan","Dodgers","2","1","3.43","0","31","0","31.0","27","12","3","32","14","1.33","9.25","4.00","3.72","0.2","0.2","2882"
"Jimmie Sherfy","","0","0","3.64","0","8","0","8.0","7","3","1","9","4","1.32","10.15","4.24","3.72","0.1","0.1","sa737897"
"A.J. Ramos","Marlins","3","2","3.63","0","51","21","51.0","43","21","5","57","26","1.35","10.04","4.54","3.73","0.4","0.3","8350"
"Julio Urias","Dodgers","6","4","3.47","15","15","0","82.0","71","32","9","88","34","1.28","9.61","3.77","3.73","1.4","1.4","14765"
"Frankie Montas","Athletics","1","1","3.74","0","27","0","27.0","25","11","3","29","11","1.30","9.49","3.59","3.73","0.2","0.2","14309"
"Rich Hill","Dodgers","6","5","3.51","15","15","0","88.0","76","34","9","92","35","1.27","9.39","3.61","3.73","1.5","1.4","4806"
"Jay Jackson","Padres","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.26","9.72","3.39","3.73","0.0","0.1","7432"
"Angel Sanchez","","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.28","7.96","2.72","3.74","0.0","0.1","sa596521"
"Reyes Moronta","","1","1","3.53","0","15","0","15.0","13","6","1","17","7","1.31","9.79","4.34","3.74","0.1","0.1","sa597322"
"Matt Grace","Nationals","0","0","3.59","0","8","0","8.0","8","3","1","6","3","1.37","7.28","3.25","3.74","0.0","0.1","11449"
"Mike Minor","Royals","2","2","3.66","0","43","1","43.0","39","18","5","44","13","1.20","9.17","2.68","3.74","0.3","0.4","10021"
"Ryan Madson","Athletics","2","2","3.80","0","51","8","51.0","49","22","5","46","17","1.30","8.19","2.98","3.74","0.4","0.3","1852"
"Joe Smith","Blue Jays","3","2","3.66","0","51","1","51.0","48","21","5","48","18","1.29","8.63","3.15","3.74","0.4","0.4","3281"
"Brandon McCarthy","Dodgers","7","6","3.75","18","18","0","99.0","95","41","12","94","29","1.25","8.50","2.64","3.74","1.7","1.4","4662"
"Ryan Weber","Braves","0","0","3.80","0","1","0","1.0","1","0","0","1","0","1.30","6.41","2.00","3.74","0.0","0.1","10160"
"Joe Nathan","Giants","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.30","9.08","3.82","3.74","0.0","0.1","1122"
"Brock Stewart","Dodgers","1","1","3.65","1","9","0","15.0","13","6","2","15","4","1.19","8.98","2.53","3.75","0.2","0.1","16727"
"Eric Yardley","","0","0","3.66","0","1","0","1.0","1","0","0","1","0","1.35","7.22","3.09","3.75","0.0","0.1","sa744476"
"Danny Salazar","Indians","9","7","3.69","23","23","0","134.0","116","55","16","149","51","1.25","10.04","3.47","3.75","2.5","2.6","5867"
"Jose Torres","Padres","0","0","3.62","0","1","0","1.0","1","0","0","1","0","1.30","9.63","3.83","3.75","0.0","0.1","14957"
"Aaron Poreda","Rangers","0","0","3.63","0","1","0","1.0","1","0","0","1","0","1.31","9.72","3.74","3.76","0.0","0.1","4313"
"Kenta Maeda","Dodgers","8","6","3.74","20","20","0","115.0","107","48","15","112","31","1.20","8.78","2.39","3.76","1.9","1.6","18498"
"Shawn Armstrong","Indians","1","1","3.57","0","24","0","24.0","19","9","2","29","12","1.32","10.85","4.68","3.76","0.3","0.3","12857"
"Spencer Patton","Cubs","0","0","3.62","0","1","0","1.0","1","0","0","1","0","1.30","10.37","4.19","3.76","0.0","0.1","12361"
"Luke Hochevar","","2","2","3.78","0","35","0","35.0","31","15","4","38","13","1.25","9.69","3.20","3.76","0.3","0.2","6943"
"Tiago Da Silva","","0","0","3.69","0","1","0","1.0","1","0","0","1","0","1.22","8.34","2.48","3.76","0.0","0.1","sa795086"
"Neil Ramirez","Giants","0","0","3.66","0","1","0","1.0","1","0","0","1","0","1.28","10.17","4.12","3.77","0.0","0.1","7677"
"Zach Phillips","Pirates","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.39","8.80","4.08","3.77","0.0","0.1","99"
"Hyun-Jin Ryu","Dodgers","5","4","3.68","13","13","0","70.0","68","29","8","61","20","1.25","7.84","2.50","3.78","1.1","1.0","14444"
"Wade LeBlanc","Pirates","3","3","3.70","3","38","0","49.0","49","20","6","43","12","1.24","7.78","2.28","3.78","0.4","0.4","5221"
"Evan Scribner","Mariners","0","0","3.75","0","8","0","8.0","7","3","1","8","2","1.18","8.78","2.21","3.78","0.1","0.1","7525"
"A.J. Schugel","Pirates","1","1","3.84","0","16","0","16.0","16","7","2","13","5","1.30","7.79","2.72","3.78","0.1","0.1","11432"
"Steve Cishek","Mariners","2","2","3.68","0","43","0","43.0","38","17","5","44","17","1.29","9.18","3.52","3.78","0.3","0.4","6483"
"Tony Zych","Mariners","2","2","3.65","0","43","0","43.0","38","17","4","43","17","1.29","9.07","3.51","3.79","0.2","0.3","12876"
"Sergio Romo","Dodgers","2","2","3.68","0","35","0","35.0","32","14","4","35","11","1.21","9.11","2.75","3.79","0.3","0.2","9817"
"Marcos Mateo","Padres","0","0","3.72","0","1","0","1.0","1","0","0","1","0","1.28","9.93","3.73","3.79","0.0","0.1","6869"
"Zach Putnam","White Sox","1","1","3.76","0","20","0","20.0","18","8","2","22","8","1.32","9.75","3.84","3.79","0.2","0.2","9080"
"Jose Flores","","0","0","3.61","0","1","0","1.0","1","0","0","1","0","1.33","7.55","3.39","3.79","0.0","0.1","sa503583"
"Nick Wittgren","Marlins","1","1","3.81","0","24","0","24.0","23","10","3","22","7","1.24","8.25","2.57","3.79","0.1","0.1","15594"
"Jaime Garcia","Braves","6","6","3.79","18","18","0","105.0","105","44","10","90","36","1.35","7.72","3.10","3.79","1.5","1.6","8137"
"Tony Watson","Pirates","2","2","3.79","0","51","28","51.0","49","21","5","45","16","1.29","7.98","2.86","3.79","0.3","0.3","3132"
"Blake Wood","Reds","2","2","3.62","0","43","0","43.0","37","17","4","47","21","1.36","9.73","4.37","3.79","0.3","0.4","1345"
"Madison Younginer","Braves","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.34","9.21","3.93","3.79","0.0","0.1","10636"
"Austin Pruitt","Rays","2","2","3.76","1","32","0","38.0","37","16","4","31","8","1.21","7.53","2.01","3.79","0.3","0.3","15290"
"Jo-Jo Reyes","Marlins","0","0","3.68","0","1","0","1.0","1","0","0","1","0","1.31","7.12","2.81","3.80","0.0","0.1","5559"
"Boone Logan","Indians","2","2","3.66","0","36","0","36.0","31","14","4","39","15","1.29","9.86","3.74","3.80","0.2","0.3","5525"
"T.J. McFarland","Diamondbacks","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.39","6.72","3.12","3.81","0.0","0.1","3237"
