"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","3","2","2.28","0","51","14","51.0","35","13","4","76","15","0.97","13.38","2.60","2.14","1.3","1.4","6785"
"Kenley Jansen","Dodgers","3","2","2.51","0","51","30","51.0","34","14","5","73","12","0.93","13.08","2.21","2.29","1.3","1.1","3096"
"Dellin Betances","Yankees","3","2","2.41","0","52","2","52.0","33","14","4","81","22","1.05","14.03","3.80","2.29","1.3","1.3","6216"
"Craig Kimbrel","Red Sox","3","2","2.62","0","51","27","51.0","34","15","4","77","21","1.07","13.53","3.68","2.50","1.1","1.2","6655"
"Clayton Kershaw","Dodgers","13","6","2.50","25","25","0","168.0","138","47","14","196","30","0.99","10.46","1.60","2.52","5.5","5.2","2036"
"Aroldis Chapman","Yankees","3","2","2.50","0","52","28","52.0","33","14","4","80","22","1.06","13.84","3.84","2.59","1.1","1.2","10233"
"Noah Syndergaard","Mets","5","3","3.01","12","12","0","71.0","59","24","6","84","17","1.08","10.74","2.22","2.72","2.1","1.7","11762"
"Trevor Rosenthal","Cardinals","3","2","2.82","0","51","1","51.0","38","16","4","69","23","1.18","12.12","3.99","2.84","0.8","0.8","10745"
"Zach Britton","Orioles","3","2","2.68","0","51","19","51.0","44","15","3","56","18","1.21","9.88","3.18","2.85","0.9","1.1","3240"
"Mark Melancon","Giants","3","2","2.89","0","50","22","50.0","45","16","3","49","12","1.15","8.83","2.23","2.90","0.7","0.7","4264"
"James Hoyt","Astros","1","1","2.94","0","23","0","23.0","18","8","2","31","9","1.14","11.89","3.44","2.91","0.4","0.4","14605"
"Edwin Diaz","Mariners","3","2","2.90","0","51","27","51.0","39","16","5","63","16","1.09","11.30","2.92","2.98","0.8","0.8","14710"
"Wade Davis","Cubs","3","2","2.91","0","51","28","51.0","40","16","4","62","18","1.14","11.02","3.26","2.99","0.8","0.9","7441"
"Max Scherzer","Nationals","12","7","3.17","24","24","0","161.0","131","57","19","200","40","1.06","11.15","2.23","3.03","4.4","4.0","3137"
"Chris Sale","Red Sox","13","6","3.17","25","25","0","170.0","143","60","18","199","38","1.07","10.58","2.01","3.04","4.5","4.7","10603"
"Ken Giles","Astros","3","2","3.09","0","51","21","51.0","39","17","5","65","19","1.15","11.62","3.45","3.06","0.8","0.8","12910"
"Felipe Rivero","Pirates","3","2","2.97","0","51","2","51.0","42","17","4","59","19","1.20","10.58","3.40","3.07","0.7","0.8","12076"
