"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Adrian Beltre","Rangers","86","367","333","98","17","1","14","47","54","28","44","3","1","1","",".293",".351",".475",".826",".351","","117","-0.6","4.2","","6.8","5.6","2.5","639"
"J.D. Martinez","Tigers","98","411","369","101","21","1","19","54","60","34","109","3","2","1","",".274",".338",".490",".828",".351","","120","-1.1","-4.5","","8.6","-9.1","1.4","6184"
"Carlos Gonzalez","Rockies","107","458","414","115","25","1","20","59","68","38","99","2","2","1","",".278",".339",".490",".829",".351","","101","-0.2","-0.7","","0.2","-5.5","0.9","7287"
"Carlos Correa","Astros","112","479","419","115","26","2","16","62","65","52","91","4","8","4","",".274",".357",".459",".816",".350","","122","0.5","-1.0","","13.3","4.2","3.5","14162"
"Seth Smith","Orioles","80","346","298","79","18","1","12","47","40","39","71","4","1","1","",".264",".356",".454",".810",".349","","117","-0.9","-1.6","","6.2","-4.4","1.4","7331"
"Jose Altuve","Astros","113","497","449","137","27","2","12","66","60","37","55","5","22","9","",".306",".363",".457",".819",".349","","122","-0.7","-3.2","","12.2","-1.9","2.8","5417"
"Gary Sanchez","Yankees","100","430","387","104","19","1","22","58","64","34","87","4","4","3","",".268",".331",".489",".821",".349","","119","-0.7","-0.3","","9.0","6.6","3.1","11442"
"Jose Abreu","White Sox","117","504","453","127","23","2","21","63","72","37","100","9","1","1","",".280",".344",".478",".822",".349","","118","-1.0","-2.6","","10.0","-11.7","1.6","15676"
"Marcell Ozuna","Marlins","112","465","420","117","22","3","19","56","66","37","99","3","2","1","",".280",".339",".480",".819",".348","","117","0.2","4.6","","10.1","-0.7","2.5","10324"
"Michael Conforto","Mets","72","303","266","70","15","1","13","39","38","30","63","3","2","1","",".265",".344",".474",".818",".348","","120","0.2","1.6","","7.6","-0.1","1.8","16376"
"Justin Turner","Dodgers","102","440","392","111","25","1","13","54","56","35","75","8","3","2","",".284",".353",".453",".806",".348","","121","-0.6","3.6","","10.5","5.0","3.0","5235"
"Anthony Rendon","Nationals","107","454","395","108","24","2","14","57","54","49","81","4","6","4","",".274",".357",".447",".804",".347","","115","0.3","4.5","","8.6","6.2","3.0","12861"
"Justin Upton","Tigers","113","469","410","106","21","1","21","61","66","50","128","4","8","5","",".258",".341",".473",".814",".347","","117","0.6","-2.8","","10.2","-7.7","1.9","5222"
"Kyle Schwarber","Cubs","93","414","353","88","16","1","19","58","49","52","105","4","4","2","",".249",".348",".459",".807",".347","","116","0.4","0.3","","8.3","-4.0","1.8","16478"
"Brandon Belt","Giants","107","457","387","100","23","3","13","56","51","61","116","4","3","2","",".257",".361",".439",".800",".347","","120","-0.4","4.9","","10.8","-2.3","2.4","10264"
"Robinson Cano","Mariners","111","485","438","126","24","1","19","61","69","38","69","4","2","1","",".287",".347",".473",".820",".347","","121","-2.0","-0.6","","10.5","1.1","2.9","3269"
"Chris Davis","Orioles","112","474","401","92","17","0","27","64","70","63","157","6","1","1","",".230",".340",".472",".811",".347","","115","0.6","2.0","","9.4","-6.5","1.9","9272"
"Xander Bogaerts","Red Sox","112","483","435","129","25","2","11","61","59","38","74","4","8","4","",".297",".356",".443",".800",".346","","112","1.2","-1.1","","8.3","4.0","2.9","12161"
"Aaron Judge","Yankees","84","338","295","74","11","2","17","44","49","35","98","3","3","2","",".251",".335",".477",".812",".346","","117","-0.4","0.9","","6.3","-2.8","1.5","15640"
"Michael Brantley","Indians","88","380","339","98","22","1","10","47","49","35","46","3","7","3","",".290",".358",".447",".805",".345","","115","0.5","-2.3","","7.5","-6.1","1.5","4106"
"Trea Turner","Nationals","109","480","440","131","24","6","12","66","52","30","96","2","29","12","",".298",".344",".462",".806",".345","","113","1.6","-1.2","","9.4","3.3","2.9","16252"
"Joc Pederson","Dodgers","99","401","334","80","16","0","17","50","50","57","107","4","5","3","",".238",".354",".443",".798",".345","","119","0.0","-0.8","","9.3","0.4","2.3","11899"
"Eric Hosmer","Royals","113","487","435","123","23","2","16","59","65","45","87","2","4","2","",".282",".350",".455",".805",".345","","114","-1.2","-0.2","","6.9","-9.0","1.5","3516"
"Ryan Zimmerman","Nationals","86","358","322","87","18","1","15","44","53","29","75","3","2","1","",".269",".331",".474",".805",".344","","112","-0.3","-1.5","","5.2","-7.3","0.9","4220"
"Yoenis Cespedes","Mets","101","435","393","104","21","1","22","55","64","34","93","3","3","2","",".264",".326",".489",".815",".343","","117","0.4","1.7","","9.6","-2.7","2.1","13110"
"Francisco Lindor","Indians","113","501","450","130","24","3","14","66","61","43","70","3","11","6","",".290",".352",".446",".799",".343","","114","-0.5","11.0","","7.9","16.1","4.2","12916"
"Shin-Soo Choo","Rangers","97","421","353","91","17","2","12","56","45","54","96","8","7","4","",".257",".364",".418",".782",".343","","111","-0.1","-0.4","","5.3","-9.2","1.1","3174"
"Ian Desmond","Rockies","106","449","406","114","22","2","16","57","59","34","117","4","11","5","",".280",".338",".463",".801",".343","","95","0.9","5.0","","-1.7","-0.4","1.2","6885"
"Wil Myers","Padres","106","464","412","107","20","3","20","57","59","44","110","3","13","7","",".261",".334",".465",".799",".342","","115","0.9","1.7","","9.7","-6.3","1.9","10047"
"Prince Fielder","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".274",".354",".443",".797",".342","","110","0.0","0.0","","0.0","0.0","0.0","4613"
"DJ LeMahieu","Rockies","110","482","430","131","21","4","6","61","45","43","73","2","10","5","",".305",".369",".417",".786",".342","","95","-0.3","1.8","","-3.5","3.4","1.6","9874"
"Rhys Hoskins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".330",".468",".797",".341","","112","0.0","0.0","","0.0","0.0","0.0","sa827179"
"Lucas Duda","Mets","91","373","315","75","15","0","17","45","49","48","92","6","1","1","",".238",".347",".450",".797",".340","","115","-0.1","0.3","","6.8","-6.0","1.3","2502"
"Yasmani Grandal","Dodgers","84","340","287","69","13","1","14","40","43","47","81","2","1","1","",".239",".348",".434",".782",".340","","115","-1.5","0.6","","5.0","6.2","2.2","11368"
"Adam Lind","Nationals","46","184","164","45","9","0","7","22","25","17","34","1","1","0","",".277",".345",".456",".800",".340","","110","-0.7","-0.9","","1.5","-2.0","0.6","8027"
"Wilin Rosario","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".278",".317",".489",".806",".340","","93","0.0","0.0","","0.0","0.0","0.0","8002"
"A.J. Pollock","Diamondbacks","104","466","420","119","25","5","11","63","46","37","73","2","22","9","",".284",".343",".446",".788",".340","","105","0.8","3.2","","3.9","4.6","2.4","9256"
