"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","3","2","2.30","0","48","13","48.0","33","12","4","71","14","0.97","13.34","2.61","2.16","1.2","1.2","6785"
"Kenley Jansen","Dodgers","3","2","2.47","0","47","27","47.0","32","13","4","69","11","0.92","13.25","2.18","2.24","1.2","1.0","3096"
"Dellin Betances","Yankees","3","2","2.41","0","49","7","49.0","31","13","3","76","20","1.05","14.07","3.78","2.29","1.3","1.2","6216"
"Craig Kimbrel","Red Sox","3","2","2.64","0","48","26","48.0","32","14","4","72","19","1.07","13.53","3.64","2.51","1.0","1.1","6655"
"Clayton Kershaw","Dodgers","12","6","2.54","23","23","0","156.0","129","44","13","180","28","1.00","10.37","1.59","2.56","5.0","4.8","2036"
"Aroldis Chapman","Yankees","3","2","2.52","0","49","22","49.0","31","14","4","75","21","1.07","13.83","3.87","2.62","1.1","1.1","10233"
"Noah Syndergaard","Mets","5","3","3.03","11","11","0","66.0","56","22","6","79","16","1.09","10.73","2.23","2.74","1.9","1.5","11762"
"Trevor Rosenthal","Cardinals","3","2","2.75","0","49","1","49.0","35","15","3","67","21","1.17","12.37","3.97","2.77","0.8","0.9","10745"
"Zach Britton","Orioles","3","2","2.69","0","48","8","48.0","41","14","3","53","17","1.22","9.87","3.20","2.87","0.9","1.0","3240"
"Mark Melancon","Giants","2","2","2.97","0","47","27","47.0","43","16","3","45","12","1.16","8.59","2.23","2.99","0.6","0.7","4264"
"Chris Sale","Red Sox","12","6","3.14","24","24","0","159.0","133","55","17","190","35","1.06","10.76","1.99","2.99","4.3","4.5","10603"
"James Hoyt","Astros","1","1","3.03","0","22","0","22.0","17","7","2","28","9","1.16","11.72","3.51","3.00","0.3","0.4","14605"
"Felipe Rivero","Pirates","3","2","2.92","0","47","1","47.0","39","15","4","57","18","1.19","10.76","3.34","3.00","0.6","0.7","12076"
"Wade Davis","Cubs","3","2","2.95","0","48","27","48.0","38","16","4","58","17","1.15","10.90","3.25","3.04","0.7","0.8","7441"
"Corey Knebel","Brewers","3","2","3.15","0","47","15","47.0","36","17","4","64","21","1.22","12.15","4.05","3.09","0.8","0.7","15010"
"Max Scherzer","Nationals","11","6","3.22","23","23","0","149.0","122","53","18","183","37","1.07","11.04","2.25","3.09","3.9","3.7","3137"
"Ken Giles","Astros","3","2","3.12","0","47","19","47.0","37","16","5","61","19","1.17","11.58","3.53","3.11","0.7","0.7","12910"
"Justin Wilson","Tigers","3","2","3.03","0","48","24","48.0","38","16","4","58","18","1.18","10.90","3.41","3.11","0.8","0.8","4301"
"Edwin Diaz","Mariners","3","2","3.00","0","47","25","47.0","36","16","5","58","16","1.12","11.10","3.08","3.12","0.7","0.7","14710"
"Josh Ravin","Dodgers","1","0","3.08","0","11","0","11.0","8","4","1","14","5","1.20","11.63","3.87","3.16","0.2","0.2","2951"
"Pedro Strop","Cubs","2","1","3.03","0","33","0","33.0","27","11","2","39","14","1.23","10.66","3.80","3.17","0.4","0.5","4070"
"Stephen Strasburg","Nationals","9","6","3.34","20","20","0","125.0","109","46","13","143","35","1.15","10.31","2.49","3.17","2.9","2.7","10131"
"Madison Bumgarner","Giants","4","3","3.14","11","11","0","69.0","59","24","7","75","17","1.11","9.77","2.20","3.17","1.6","1.6","5524"
"Jacob deGrom","Mets","9","7","3.25","23","23","0","141.0","123","51","14","158","41","1.16","10.10","2.61","3.18","3.4","2.9","10954"
"Alex Wood","Dodgers","7","5","3.07","15","30","0","102.0","89","35","9","110","32","1.19","9.74","2.81","3.18","2.1","2.1","13781"
"Greg Holland","Rockies","3","2","3.32","0","47","16","47.0","39","17","4","58","20","1.25","11.05","3.75","3.24","0.8","0.8","7196"
"Carter Capps","Padres","1","1","3.25","0","29","0","29.0","23","11","3","37","13","1.22","11.30","3.90","3.25","0.4","0.3","12803"
"Jeurys Familia","Mets","3","2","3.24","0","48","8","48.0","42","17","4","53","20","1.29","9.85","3.76","3.26","0.6","0.5","5114"
"Cody Allen","Indians","3","2","3.24","0","48","14","48.0","37","17","5","61","19","1.18","11.48","3.64","3.27","0.6","0.7","12183"
"Will Smith","Giants","0","0","3.14","0","1","0","1.0","1","0","0","1","0","1.23","10.66","3.82","3.27","0.0","0.1","8048"
"Nate Jones","White Sox","1","1","3.26","0","22","0","22.0","19","8","2","26","8","1.19","10.63","3.24","3.28","0.3","0.3","4696"
"Josh Smoker","Mets","2","1","3.19","0","30","0","30.0","24","11","3","36","12","1.22","10.95","3.61","3.28","0.4","0.3","10285"
"Blake Parker","Angels","3","2","3.16","0","47","0","47.0","37","16","5","55","17","1.16","10.66","3.30","3.29","0.6","0.6","5224"
"Kelvin Herrera","Royals","3","2","3.30","0","48","24","48.0","41","17","4","51","16","1.19","9.62","2.94","3.29","0.6","0.7","6033"
"Brett Cecil","Cardinals","2","1","3.23","0","34","0","34.0","29","12","3","37","12","1.23","9.94","3.33","3.29","0.4","0.4","2660"
