"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Sean Doolittle","Athletics","1","1","3.29","0","25","0","25.0","21","9","3","30","8","1.12","10.60","2.67","3.30","0.4","0.3","1581"
"Liam Hendriks","Athletics","2","2","3.43","0","40","0","40.0","37","15","4","41","10","1.16","9.19","2.19","3.31","0.6","0.3","3548"
"Hector Rondon","Cubs","2","2","3.31","0","41","1","41.0","36","15","4","44","13","1.19","9.71","2.83","3.32","0.5","0.5","2391"
"Carlos Carrasco","Indians","10","6","3.39","23","23","0","141.0","129","53","15","145","37","1.18","9.25","2.35","3.35","3.1","3.1","6632"
"Chris Archer","Rays","9","7","3.32","23","23","0","143.0","121","53","15","161","49","1.18","10.13","3.06","3.35","3.0","3.1","6345"
"Shawn Kelley","Nationals","3","2","3.37","0","48","11","48.0","40","18","5","58","17","1.19","10.89","3.19","3.36","0.6","0.6","7773"
"Raisel Iglesias","Reds","2","2","3.32","0","48","24","48.0","40","18","5","56","16","1.17","10.50","2.99","3.36","0.6","0.6","17130"
"Wilmer Font","Rangers","0","0","3.43","0","1","0","1.0","1","0","0","1","0","1.13","10.82","2.69","3.37","0.0","0.1","5257"
"Jim Johnson","Braves","2","2","3.42","0","49","18","49.0","46","18","4","47","18","1.30","8.79","3.28","3.38","0.5","0.5","3656"
"Cam Bedrosian","Angels","2","1","3.21","0","32","18","32.0","26","11","3","37","14","1.24","10.42","3.84","3.38","0.3","0.3","13360"
"David Phelps","Marlins","3","3","3.36","4","44","0","60.0","53","23","6","66","22","1.24","9.80","3.33","3.38","0.8","0.8","6316"
"Carl Edwards Jr.","Cubs","3","2","3.17","0","48","1","48.0","36","17","4","63","26","1.29","11.73","4.93","3.40","0.5","0.6","13607"
"Arodys Vizcaino","Braves","2","2","3.37","0","49","9","49.0","40","18","4","58","22","1.27","10.82","4.05","3.40","0.4","0.5","5498"
"James Pazos","Mariners","2","1","3.19","0","32","0","32.0","26","12","3","39","16","1.28","10.86","4.32","3.40","0.3","0.3","13323"
"Hunter Strickland","Giants","2","2","3.32","0","40","2","40.0","35","15","4","40","14","1.22","9.17","3.10","3.40","0.3","0.4","7836"
"Gerrit Cole","Pirates","9","8","3.63","23","23","0","144.0","138","58","14","137","39","1.23","8.59","2.44","3.41","2.9","2.3","13125"
"Juan Nicasio","Pirates","2","2","3.45","0","40","1","40.0","36","15","4","43","14","1.25","9.64","3.21","3.41","0.4","0.3","7731"
"Koji Uehara","Cubs","2","2","3.36","0","41","0","41.0","34","15","5","47","11","1.09","10.43","2.37","3.41","0.5","0.5","9227"
"Josh Fields","Dodgers","2","2","3.32","0","40","1","40.0","33","15","4","46","13","1.16","10.37","3.05","3.41","0.5","0.4","5070"
"Andrew Chafin","Diamondbacks","2","1","3.32","0","32","0","32.0","29","12","3","35","13","1.28","9.56","3.56","3.41","0.4","0.4","12988"
"Archie Bradley","Diamondbacks","4","3","3.47","4","50","4","66.0","57","26","6","76","27","1.27","10.33","3.70","3.42","0.9","1.0","12918"
"Keone Kela","Rangers","2","1","3.38","0","29","0","29.0","23","11","3","36","13","1.25","11.26","4.05","3.42","0.3","0.4","14696"
"Carson Smith","Red Sox","1","0","3.47","0","11","0","11.0","10","4","1","11","4","1.31","9.14","3.53","3.42","0.1","0.1","13172"
"Michael Pineda","Yankees","8","6","3.52","19","19","0","113.0","104","44","14","121","27","1.15","9.57","2.14","3.44","2.5","2.4","5372"
"Jameson Taillon","Pirates","7","6","3.63","19","19","0","113.0","112","46","11","103","27","1.23","8.22","2.19","3.44","2.2","1.8","11674"
"Ross Stripling","Dodgers","3","2","3.46","1","41","0","46.0","43","18","5","44","13","1.22","8.64","2.53","3.46","0.5","0.3","13273"
"Cesar Valdez","Blue Jays","0","0","3.54","0","7","0","7.0","7","3","1","6","1","1.15","7.95","1.48","3.46","0.1","0.1","9013"
"Chaz Roe","Braves","1","1","3.41","0","19","0","19.0","16","7","1","20","8","1.31","9.67","3.87","3.46","0.2","0.2","9866"
"James Paxton","Mariners","8","6","3.42","19","19","0","113.0","103","43","11","112","35","1.22","8.90","2.79","3.46","2.3","2.3","11828"
"Blake Treinen","Nationals","2","2","3.43","0","40","2","40.0","38","15","3","40","16","1.34","8.88","3.66","3.46","0.4","0.4","12572"
"Jose Contreras","Pirates","0","0","3.53","0","1","0","1.0","1","0","0","1","0","1.22","8.93","2.66","3.47","0.0","0.1","1660"
"Matt Bush","Rangers","3","2","3.50","0","47","1","47.0","41","18","5","52","16","1.20","9.98","2.99","3.47","0.6","0.6","1246"
"Joe Kelly","Red Sox","3","2","3.55","0","48","3","48.0","44","19","4","49","17","1.28","9.27","3.23","3.47","0.5","0.5","9761"
"Grant Dayton","Dodgers","1","1","3.31","0","25","0","25.0","20","9","3","30","9","1.15","10.80","3.12","3.47","0.3","0.2","11203"
"Michael Feliz","Astros","1","1","3.45","0","25","0","25.0","21","10","3","31","10","1.20","10.92","3.50","3.48","0.2","0.2","11903"
"Oliver Drake","Brewers","1","1","3.47","0","25","0","25.0","21","10","3","31","12","1.30","10.99","4.24","3.48","0.3","0.2","8823"
"Addison Reed","Mets","2","2","3.61","0","48","22","48.0","43","19","6","52","14","1.19","9.70","2.58","3.48","0.5","0.3","10586"
"Brad Hand","Padres","2","2","3.44","0","47","3","47.0","41","18","5","50","18","1.27","9.73","3.42","3.49","0.5","0.5","9111"
"Kyle Barraclough","Marlins","3","2","3.28","0","48","8","48.0","37","17","3","60","29","1.37","11.26","5.45","3.49","0.4","0.6","13713"
"Derek Law","Giants","2","2","3.42","0","47","2","47.0","43","18","4","45","16","1.25","8.71","3.07","3.49","0.4","0.3","13133"
"Chris Devenski","Astros","3","2","3.49","1","49","6","54.0","46","21","7","61","15","1.13","10.13","2.55","3.49","0.7","0.7","12763"
"Zach Duke","Cardinals","0","0","3.29","0","1","0","1.0","1","0","0","1","0","1.33","9.34","3.98","3.50","0.0","0.1","3840"
"Brandon Maurer","Padres","2","2","3.52","0","47","20","47.0","42","18","5","50","15","1.22","9.60","2.97","3.50","0.5","0.4","4878"
"Paolo Espino","Brewers","1","1","3.65","0","18","0","18.0","17","7","2","18","3","1.15","9.03","1.70","3.50","0.2","0.2","8246"
"Corey Kluber","Indians","10","7","3.56","23","23","0","144.0","131","57","17","150","39","1.18","9.33","2.43","3.51","2.9","3.0","2429"
"Jenrry Mejia","Mets","0","0","3.55","0","1","0","1.0","1","0","0","1","0","1.29","9.39","3.36","3.52","0.0","0.1","8476"
"David Price","Red Sox","6","4","3.60","14","14","0","90.0","85","36","11","88","21","1.18","8.78","2.10","3.53","1.8","1.7","3184"
"Steven Matz","Mets","4","3","3.55","11","11","0","63.0","58","25","6","62","20","1.24","8.94","2.82","3.53","1.3","1.2","13361"
"Alex Colome","Rays","2","2","3.40","0","47","19","47.0","41","18","5","48","15","1.20","9.24","2.88","3.54","0.4","0.5","6661"
"Lance McCullers","Astros","8","6","3.51","20","20","0","118.0","103","46","11","130","49","1.29","9.93","3.76","3.54","2.3","2.2","14120"
"Jon Lester","Cubs","10","7","3.55","24","24","0","149.0","137","59","16","148","45","1.22","8.93","2.69","3.54","2.9","2.7","4930"
"Roberto Osuna","Blue Jays","2","2","3.58","0","47","23","47.0","40","19","6","53","14","1.15","10.11","2.64","3.55","0.6","0.5","13764"
"Luke Gregerson","Astros","2","2","3.57","0","40","3","40.0","36","16","4","41","13","1.22","9.15","2.86","3.55","0.4","0.4","4090"
"Chris Hatcher","Dodgers","1","1","3.49","0","22","0","22.0","19","8","2","24","7","1.21","9.83","3.09","3.56","0.2","0.2","3299"
"Dallas Keuchel","Astros","10","7","3.50","22","22","0","148.0","146","58","14","127","42","1.26","7.72","2.54","3.56","2.9","2.8","9434"
"Marcus Stroman","Blue Jays","9","7","3.67","23","23","0","146.0","146","60","13","124","41","1.28","7.65","2.55","3.57","2.9","2.7","13431"
"Tyler Lyons","Cardinals","1","1","3.56","0","19","0","19.0","17","7","2","18","5","1.18","8.78","2.24","3.57","0.2","0.2","11334"
"Josh Lowey","","0","0","3.54","0","0","0","1.0","1","0","0","1","0","1.26","8.67","2.99","3.57","0.0","0.0","sa560990"
"Joakim Soria","Royals","2","2","3.48","0","48","1","48.0","42","18","5","49","18","1.26","9.22","3.38","3.58","0.4","0.6","6941"
"Carlos Martinez","Cardinals","10","8","3.61","24","24","0","149.0","140","60","13","147","56","1.31","8.84","3.40","3.58","2.7","2.5","11682"
"David Robertson","White Sox","2","2","3.62","0","48","23","48.0","41","19","5","57","20","1.25","10.62","3.65","3.58","0.5","0.5","8241"
"Daniel Winkler","Braves","0","0","3.57","0","7","0","7.0","7","3","1","8","3","1.24","9.84","3.32","3.58","0.1","0.1","12237"
"Aaron Nola","Phillies","6","5","3.60","16","16","0","95.0","88","38","11","93","26","1.21","8.87","2.50","3.58","1.8","1.7","16149"
"Yu Darvish","Rangers","10","7","3.71","23","23","0","144.0","124","60","18","169","53","1.22","10.52","3.31","3.58","3.0","3.0","13074"
"Adam Ottavino","Rockies","2","2","3.78","0","47","6","47.0","43","20","5","52","19","1.31","10.05","3.59","3.59","0.6","0.7","1247"
"Tommy Kahnle","White Sox","2","2","3.47","0","33","0","33.0","26","13","3","43","18","1.33","11.63","4.97","3.59","0.3","0.4","11384"
"Pedro Baez","Dodgers","2","2","3.50","0","47","1","47.0","40","18","5","52","17","1.21","10.03","3.25","3.59","0.4","0.3","5420"
"A.J. Minter","","0","0","3.43","0","1","0","1.0","1","0","0","1","0","1.32","10.00","4.12","3.59","0.0","0.1","sa659284"
"Jose Valverde","Mets","0","0","3.68","0","1","0","1.0","1","0","0","1","0","1.23","10.08","3.19","3.60","0.0","0.1","1726"
"Fernando Nieve","","0","0","3.58","0","1","0","1.0","1","0","0","1","0","1.27","9.91","3.55","3.60","0.0","0.1","2173"
"Frankie Montas","Athletics","1","1","3.61","0","29","0","29.0","25","12","3","32","12","1.27","9.89","3.57","3.60","0.3","0.2","14309"
"Anthony Swarzak","White Sox","2","2","3.59","0","41","0","41.0","37","16","5","42","12","1.22","9.38","2.72","3.61","0.5","0.4","7466"
"D.J. Snelten","","0","0","3.29","0","1","0","1.0","1","0","0","1","0","1.34","7.86","3.62","3.61","0.0","0.1","sa549813"
"Seung Hwan Oh","Cardinals","2","2","3.63","0","49","27","49.0","44","20","6","50","15","1.21","9.29","2.79","3.61","0.4","0.4","18719"
"Jeff Samardzija","Giants","9","8","3.68","23","23","0","146.0","141","60","16","131","37","1.21","8.05","2.25","3.62","2.3","2.1","3254"
"Radhames Liz","Pirates","0","0","3.61","0","1","0","1.0","1","0","0","1","0","1.27","9.63","3.49","3.62","0.0","0.1","5843"
"John Holdzkom","Pirates","0","0","3.57","0","1","0","1.0","1","0","0","1","0","1.34","9.91","4.25","3.62","0.0","0.1","9392"
"Justin Grimm","Cubs","0","0","3.54","0","7","0","7.0","6","3","1","9","3","1.29","10.43","4.08","3.62","0.1","0.1","11720"
"Clay Holmes","","1","1","3.59","0","15","0","15.0","14","6","1","14","6","1.38","8.51","3.85","3.63","0.1","0.2","sa598167"
"Phil Maton","","0","0","3.60","0","1","0","1.0","1","0","0","1","0","1.25","10.00","3.47","3.63","0.0","0.1","sa875251"
"Cory Mazzoni","Padres","0","0","3.59","0","7","0","7.0","6","3","1","8","3","1.25","9.59","3.30","3.63","0.1","0.1","12537"
"Zach McAllister","Indians","2","1","3.63","0","30","0","30.0","26","12","3","32","11","1.23","9.69","3.20","3.64","0.3","0.3","2895"
"Trevor May","Twins","0","0","3.68","0","1","0","1.0","1","0","0","1","0","1.21","9.83","2.95","3.64","0.0","0.1","6398"
"Bud Norris","Angels","2","2","3.52","0","47","8","47.0","42","18","5","46","15","1.22","8.94","2.88","3.64","0.3","0.4","9492"
"Charlie Morton","Astros","7","6","3.69","19","19","0","106.0","98","44","10","109","39","1.28","9.26","3.30","3.65","1.9","1.8","4676"
"Kirby Yates","Padres","0","0","3.58","0","1","0","1.0","1","0","0","1","0","1.26","10.45","3.83","3.65","0.0","0.1","9073"
"Alec Mills","Cubs","1","1","3.55","0","18","0","18.0","17","7","2","17","5","1.20","8.52","2.50","3.65","0.2","0.1","13834"
"Jimmie Sherfy","","0","0","3.57","0","7","0","7.0","6","3","1","8","3","1.30","10.35","4.20","3.65","0.1","0.1","sa737897"
"Johnny Cueto","Giants","9","8","3.56","23","23","0","151.0","147","60","15","125","38","1.23","7.45","2.29","3.65","2.4","2.5","6893"
"Luis Avilan","Dodgers","2","1","3.37","0","29","0","29.0","25","11","3","31","13","1.32","9.52","4.03","3.66","0.2","0.2","2882"
"Garrett Richards","Angels","3","3","3.55","8","8","0","48.0","45","19","4","45","18","1.30","8.38","3.29","3.66","0.8","0.8","9784"
"Zack Greinke","Diamondbacks","9","7","3.68","22","22","0","142.0","136","58","17","131","36","1.21","8.32","2.26","3.66","2.7","2.8","1943"
"Enny Romero","Nationals","2","1","3.52","0","29","0","29.0","25","12","3","32","12","1.29","9.88","3.77","3.66","0.3","0.2","4001"
"Adam Liberatore","Dodgers","1","1","3.47","0","18","0","18.0","16","7","2","19","7","1.25","9.69","3.45","3.66","0.1","0.1","10637"
"Alex Reyes","Cardinals","0","0","3.51","0","0","0","1.0","1","0","0","1","1","1.31","11.00","4.73","3.67","0.0","0.0","15015"
"Koda Glover","Nationals","2","2","3.68","0","48","17","48.0","44","20","5","48","16","1.27","8.97","3.07","3.67","0.4","0.4","17695"
"Jake Arrieta","Cubs","10","7","3.67","23","23","0","142.0","132","58","14","133","47","1.26","8.43","2.99","3.68","2.5","2.4","4153"
"Jerry Blevins","Mets","2","2","3.58","0","33","0","33.0","29","13","4","37","13","1.27","10.01","3.54","3.68","0.2","0.2","7841"
"Erik Cordier","Marlins","0","0","3.53","0","1","0","1.0","1","0","0","1","1","1.37","10.80","5.11","3.69","0.0","0.1","4086"
"Matt Strahm","Royals","1","1","3.48","0","26","0","26.0","22","10","3","28","10","1.24","9.92","3.63","3.69","0.2","0.3","13799"
"Aaron Barrett","","0","0","3.66","0","7","0","7.0","7","3","1","8","3","1.29","9.53","3.61","3.70","0.1","0.1","11243"
"Joe Smith","Blue Jays","2","2","3.62","0","47","1","47.0","44","19","5","46","17","1.29","8.83","3.19","3.70","0.4","0.4","3281"
"Shae Simmons","Mariners","0","0","3.54","0","7","0","7.0","7","3","1","8","3","1.32","9.46","3.96","3.71","0.1","0.1","14200"
"Kameron Loe","Braves","0","0","3.72","0","1","0","1.0","1","0","0","1","0","1.32","7.40","2.71","3.71","0.0","0.1","4422"
"Sammy Solis","Nationals","1","1","3.58","0","22","0","22.0","20","9","2","23","9","1.32","9.45","3.82","3.71","0.1","0.1","11457"
"Marc Rzepczynski","Mariners","2","1","3.42","0","29","0","29.0","26","11","2","29","13","1.37","8.93","4.17","3.71","0.2","0.3","6612"
"Tiago Da Silva","","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.22","8.46","2.50","3.72","0.0","0.1","sa795086"
"Jordan Walden","Cardinals","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.31","9.74","3.90","3.72","0.0","0.1","3271"
"Rick Porcello","Red Sox","9","7","3.95","23","23","0","143.0","145","63","17","126","30","1.22","7.90","1.90","3.72","2.8","2.5","2717"
"Erick Fedde","","0","0","3.69","0","7","0","7.0","7","3","1","7","2","1.29","8.23","2.95","3.72","0.1","0.1","sa599293"
"Carlos Alvarado","","0","0","3.59","0","1","0","1.0","1","0","0","1","0","1.26","9.24","3.55","3.72","0.0","0.1","sa505053"
"Mike Minor","Royals","2","2","3.65","0","40","1","40.0","36","16","5","42","12","1.20","9.30","2.72","3.72","0.3","0.4","10021"
"Robbie Ray","Diamondbacks","7","6","3.72","20","20","0","113.0","97","47","13","129","49","1.29","10.22","3.87","3.74","2.0","2.2","11486"
"Dan Otero","Indians","2","2","3.68","0","41","0","41.0","43","17","4","29","10","1.30","6.45","2.18","3.74","0.3","0.4","7385"
"Matt Bowman","Cardinals","1","1","3.71","0","30","0","30.0","31","12","2","23","10","1.35","6.88","2.88","3.75","0.2","0.1","13528"
"Tyler Webb","","0","0","3.52","0","1","0","1.0","1","0","0","1","0","1.22","9.76","3.20","3.75","0.0","0.1","sa602910"
"Ian Thomas","Dodgers","0","0","3.56","0","1","0","1.0","1","0","0","1","0","1.27","9.12","3.35","3.75","0.0","0.1","13881"
"Brandon McCarthy","Dodgers","6","5","3.77","16","16","0","92.0","89","39","11","86","27","1.25","8.40","2.60","3.75","1.5","1.2","4662"
"Justin Verlander","Tigers","10","7","3.73","24","24","0","153.0","135","63","19","159","48","1.20","9.39","2.86","3.75","3.0","2.9","8700"
"Sergio Romo","Dodgers","2","1","3.66","0","32","0","32.0","29","13","4","34","10","1.20","9.30","2.72","3.75","0.3","0.2","9817"
"Paul Sewald","Mets","1","1","3.75","0","11","0","11.0","10","5","1","12","4","1.25","9.62","3.23","3.75","0.1","0.0","13892"
"Rich Hill","Dodgers","6","5","3.54","15","15","0","88.0","77","35","9","92","35","1.27","9.34","3.54","3.76","1.5","1.4","4806"
"Jay Jackson","Padres","0","0","3.73","0","1","0","1.0","1","0","0","1","0","1.26","9.71","3.41","3.76","0.0","0.1","7432"
"A.J. Ramos","Marlins","2","2","3.66","0","48","20","48.0","40","19","4","54","24","1.35","10.11","4.61","3.76","0.3","0.4","8350"
"Will Harris","Astros","2","2","3.79","0","40","0","40.0","37","17","5","39","13","1.26","8.76","2.95","3.76","0.3","0.3","3192"
"Junichi Tazawa","Marlins","1","1","3.78","0","29","0","29.0","27","12","3","28","10","1.27","8.53","2.99","3.76","0.2","0.2","4079"
"Shawn Armstrong","Indians","1","1","3.58","0","22","0","22.0","18","9","2","27","12","1.32","10.91","4.67","3.77","0.2","0.2","12857"
"Brian Duensing","Cubs","2","1","3.54","0","30","0","30.0","27","12","3","29","11","1.28","8.66","3.25","3.77","0.3","0.2","4064"
"Danny Salazar","Indians","9","6","3.71","22","22","0","125.0","108","51","16","141","49","1.25","10.15","3.50","3.77","2.3","2.4","5867"
"Matt Grace","Nationals","1","1","3.61","0","15","0","15.0","15","6","1","12","5","1.38","7.21","3.30","3.78","0.1","0.1","11449"
"Brock Stewart","Dodgers","1","1","3.68","1","8","0","14.0","13","6","2","14","4","1.19","8.96","2.55","3.78","0.2","0.2","16727"
"Austin Pruitt","Rays","2","2","3.74","1","33","0","39.0","38","16","5","33","9","1.21","7.57","2.00","3.78","0.3","0.4","15290"
"Craig Stammen","Padres","1","1","3.82","0","21","0","21.0","21","9","2","19","7","1.31","8.11","3.01","3.78","0.1","0.0","7274"
"Kenta Maeda","Dodgers","7","6","3.77","19","19","0","107.0","100","45","14","104","29","1.20","8.77","2.40","3.78","1.8","1.5","18498"
"Boone Logan","Indians","2","1","3.63","0","33","0","33.0","29","13","4","37","14","1.29","10.00","3.78","3.78","0.2","0.3","5525"
"Aaron Poreda","Rangers","0","0","3.66","0","1","0","1.0","1","0","0","1","0","1.31","9.72","3.76","3.78","0.0","0.1","4313"
"Walker Buehler","","0","0","3.75","0","0","0","1.0","1","0","0","1","0","1.28","9.00","3.27","3.78","0.0","0.0","sa658292"
"Trevor Hildenberger","","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.31","8.09","3.08","3.79","0.0","0.1","sa829460"
"Mike Kickham","Giants","0","0","3.52","0","1","0","1.0","1","0","0","1","0","1.35","7.76","3.60","3.79","0.0","0.1","11618"
"Luke Hochevar","","2","2","3.80","0","33","0","33.0","30","14","4","36","12","1.25","9.68","3.22","3.79","0.2","0.2","6943"
"Mike Broadway","Giants","0","0","3.68","0","1","0","1.0","1","0","0","1","0","1.28","8.84","3.39","3.79","0.0","0.1","9894"
"Jose Flores","","0","0","3.61","0","1","0","1.0","1","0","0","1","0","1.34","7.63","3.44","3.79","0.0","0.1","sa503583"
"Shane Greene","Tigers","2","2","3.70","0","41","0","41.0","38","17","4","39","14","1.27","8.67","3.00","3.79","0.3","0.4","10756"
"Jaime Garcia","Braves","6","6","3.80","17","17","0","98.0","99","41","9","84","34","1.35","7.73","3.11","3.79","1.4","1.4","8137"
"Jose Torres","Padres","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.31","9.55","3.81","3.79","0.0","0.1","14957"
"Spencer Patton","Cubs","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.30","10.36","4.23","3.79","0.0","0.1","12361"
"Eric Yardley","","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.37","7.18","3.22","3.80","0.0","0.1","sa744476"
"Ryan Madson","Athletics","2","2","3.84","0","47","8","47.0","46","20","5","42","16","1.31","8.04","2.99","3.81","0.3","0.2","1852"
"Onelki Garcia","Dodgers","0","0","3.53","0","1","0","1.0","1","0","0","1","0","1.34","8.96","3.93","3.81","0.0","0.1","13674"
"Jo-Jo Reyes","Marlins","0","0","3.69","0","1","0","1.0","1","0","0","1","0","1.31","7.11","2.77","3.81","0.0","0.1","5559"
"Steven Okert","Giants","1","1","3.58","0","29","0","29.0","26","11","3","28","12","1.29","8.84","3.65","3.81","0.1","0.2","13580"
"Silvino Bracho","Diamondbacks","0","0","3.84","0","7","0","7.0","6","3","1","8","3","1.22","10.37","3.25","3.81","0.1","0.1","15051"
"Edgar Santana","","0","0","3.82","0","1","0","1.0","1","0","0","1","0","1.35","7.85","3.23","3.81","0.0","0.1","sa830146"
"Jake McGee","Rockies","2","2","3.91","0","40","3","40.0","37","17","5","43","14","1.29","9.70","3.24","3.81","0.4","0.5","7550"
"Evan Scribner","Mariners","0","0","3.79","0","7","0","7.0","7","3","1","7","2","1.18","8.76","2.23","3.81","0.0","0.1","7525"
"Marcos Mateo","Padres","0","0","3.75","0","1","0","1.0","1","0","0","1","0","1.29","9.92","3.76","3.81","0.0","0.1","6869"
"Zach Putnam","White Sox","1","1","3.78","0","19","0","19.0","16","8","2","20","8","1.32","9.74","3.87","3.82","0.2","0.2","9080"
"Ian Krol","Braves","2","2","3.65","0","41","0","41.0","37","17","4","42","18","1.35","9.26","3.97","3.82","0.2","0.3","10066"
"Drew Steckenrider","","0","0","3.63","0","7","0","7.0","6","3","1","8","4","1.37","9.20","4.46","3.82","0.0","0.1","sa621408"
"Ryan Newell","","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.36","7.70","3.42","3.83","0.0","0.1","sa658029"
"Joe Jimenez","Tigers","1","1","3.68","0","19","0","19.0","15","8","2","21","8","1.25","10.35","3.84","3.83","0.1","0.2","15761"
"Madison Younginer","Braves","0","0","3.73","0","1","0","1.0","1","0","0","1","0","1.34","9.16","3.99","3.84","0.0","0.1","10636"
